,country,urban_area_atomistic_subdivision,urban_area_informal_subdivision,urban_area_total
0,AFG,199436.06737898284,326716161.65168494,526799061.2384386
1,AGO,290573192.7135877,601658092.8859112,1721850639.0344272
2,ALB,378807.9109528186,18642984.376679316,135382545.19423842
3,ARE,296003.85320925247,15188598.524823837,1017184289.5078387
4,ARG,1031109.5063782935,1084292516.662759,4407820865.877913
5,ARM,40821.415674785545,40698501.65223852,252829800.45681834
6,AUS,2553416.4043524056,16302450.230807671,6348082141.123058
7,AUT,3383061.494372319,375061.7127948836,579427487.1276461
8,AZE,1000740.6605698529,246878412.46772438,667160271.1863931
9,Akrotiri,8202.333984375,1201444.1969592525,58106007.28157945
10,BDI,492088.09860983456,34779701.64651884,95044920.81339246
11,BEL,187182427.99794352,753872.2008769915,2441601917.074868
12,BEN,60304268.42336859,157370351.35014552,549582969.0220176
13,BFA,9666614.61608073,248636956.79749167,536116656.53961086
14,BGD,249945429.5214806,48220920.88019301,1231870893.7669432
15,BGR,1118084.1440123315,9335558.191433057,344072233.2498217
16,BHR,8935.7705078125,3528979.586109834,225649691.57102382
17,BHS,0.0,9020.83203125,78688509.99297252
18,BIH,1016308.9105909162,7688945.614696311,115533195.2129809
19,BLR,8254902.979063266,24121328.516909845,858366901.9016931
20,BOL,64292.05822610294,291269195.52178675,923288020.3107575
21,BRA,50719208.93154105,933151780.5266585,13926836608.603489
22,BWA,0.0,41523465.16280251,144437227.69664127
23,CAF,6436831.174460018,50152661.73538983,120300404.62442537
24,CAN,3119037.6390069695,83716553.7202072,9055831215.896456
25,CHE,24220621.501277197,1154460.354474954,2161283182.285241
26,CHL,461198.0129997702,26304007.84646333,1350032499.4502947
27,CHN,1239244175.5406125,7317099207.056403,85305847542.40788
28,CIV,83020336.40906097,206121286.41129375,714373174.794055
29,CMR,89190051.18328732,314623001.2117108,1150240302.70272
30,COD,191893977.0118988,727485116.7944667,1898343677.5449433
31,COG,166903012.11494336,324141696.58488846,779505636.3970644
32,COL,14514347.600137863,257939028.90080807,1586359851.7715309
33,CPV,82840.44948299632,4222307.773801318,15665868.900088066
34,CRI,118800.67773820467,766933.3778760722,336950917.93740696
35,CUB,131066.54940257352,109576875.86806832,381893555.60857755
36,CUW,56664.272790287985,4013187.743776808,88516092.37681507
37,CYP,8202.333984375,10026865.930237055,165840833.32278848
38,CZE,1479691.178375843,1255918.484859451,492430045.7705485
39,DEU,115808685.27594018,4041437.4728764547,7790614846.272565
40,DJI,309124.32458256744,7685877.603090535,33823922.919764854
41,DNK,1523555.2230277266,131390.3100413603,501880753.46352506
42,DOM,676529.763304228,126435886.80754064,610679160.769859
43,DZA,5815761.697903264,357131583.6691079,1426432959.1843126
44,ECU,83216470.2487477,94118114.61704965,1018392672.5322696
45,EGY,81252102.0676509,619482067.7944006,2591246242.514778
46,ERI,0.0,19257758.237538293,39660036.44366957
47,ESH,50954.92814031863,3239795.8690831806,19358022.93493412
48,ESP,5176614.540096508,61742787.46889937,2493930513.960606
49,EST,224908.7552255668,225037.58465647977,85979414.75069876
50,ETH,208435.66024816176,226835758.38888633,740354366.1821445
51,FIN,194137.48520029106,160720.41198299633,356326274.1371661
52,FJI,18911.0009765625,9853751.046737134,55844651.8987744
53,FRA,223269171.3559916,173589146.688739,7361009994.021811
54,GAB,26359441.985657927,50919429.26152733,209431706.67238814
55,GBR,48712773.03674937,1629859.7530388327,8029108621.134026
56,GEO,1460128.2257946536,13609997.570603551,219736475.9503798
57,GHA,268867854.70947087,744990177.2372322,2305091202.5772724
58,GIN,84746497.82029332,85664470.84411764,386062157.47904754
59,GLP,19091.099609375,8489719.729254749,68439399.0119521
60,GMB,0.0,464035.4130859375,2393100.061155791
61,GNB,1669271.17265625,27771775.75814569,54485473.59601703
62,GNQ,16547629.108298864,5483191.364721201,89957284.44706655
63,GRC,142190.7261852788,59942731.745796986,719937736.7957625
64,GTM,271612.4494025735,37381736.8897059,450888411.1370124
65,GUF,0.0,4417818.524038756,28360939.425363787
66,GUM,0.0,1114245.4393995095,8212352.890234381
67,GUY,25881.979032628675,12405045.420829505,56029118.509895764
68,HKG,143469873.49799722,20032233.02942324,5673494349.4516735
69,HND,925750.6583563113,51681352.98488051,270757307.35085714
70,HRV,2112419.687030867,13282491.745029112,235583578.88107258
71,HTI,2748587.768497242,187443129.25169295,320792569.7931334
72,HUN,11593976.473910462,10519491.09445083,821916167.6559035
73,IC,55795.42946920955,24103.148575367646,58824737.837572694
74,IDN,1294827069.5483646,868953490.9242458,10389098110.810936
75,IND,961460368.1836324,4714764623.643476,21658002424.60886
76,IRL,513353.45161802997,54661.301520373774,311599447.1243496
77,IRN,3695220.5765031404,523049774.91272575,4005981806.266554
78,IRQ,17433635.93189147,741055513.4514731,1810415405.4499104
79,ISL,17576.67578125,17572.1689453125,49276868.07148842
80,ISR,36910.72822840074,53349578.82194782,592066602.2985587
81,ITA,56651767.84133732,42539493.636132814,5066980110.271623
82,JAM,28349.9462890625,35863769.00963923,162307076.61195567
83,JOR,150010.38074448533,81658410.95600483,472268708.8777138
84,JPN,5803796261.742885,280948001.13383317,23643187558.219845
85,KAZ,871218.5043677237,1153529753.676814,3140084461.338763
86,KEN,8180708.479656863,203401269.96796104,1106951319.1903203
87,KGZ,98134.63486328124,190269199.47278255,384480836.2914539
88,KHM,920790.0187040442,47227844.12179844,355940759.82643604
89,KOR,256364846.51019055,16612602.975446155,4076176339.6933703
90,KWT,115172.04208409927,455256.26019837614,408427580.70991
91,LAO,2756205.17254519,7091651.965950521,158928135.13229877
92,LBN,1267724.7759650731,6398100.145316332,256400523.50672174
93,LBR,6788990.941103707,71626302.26503521,221200810.8061534
94,LBY,564154.997958793,363845728.5033587,1453262407.3386345
95,LKA,14818161.189725032,255980873.46829486,755284302.7165533
96,LSO,0.0,44878065.06244637,107629538.37679256
97,LTU,1530324.3552868413,4069657.0226351833,293868227.6008218
98,LVA,1748365.864520144,286923.3988223805,122643801.76968217
99,MAC,4394724.1905522365,345042.1830116422,162031302.67915422
100,MAR,13123304.20344669,69605264.12030865,883390236.2726115
101,MDA,3442868.8034639247,4507384.228768382,162381452.78728217
102,MDG,675294.8975834865,78517881.74669881,302073438.84652203
103,MEX,2043479.2553308823,1672695945.2037303,12544730811.742773
104,MKD,369414.64068627445,4028004.866467525,99371596.79226601
105,MLI,21924087.637668498,284439168.2135305,572666559.2711474
106,MLT,0.0,469758.7746495864,63999194.99060006
107,MMR,18679526.413415287,137929237.72665048,663423137.8820218
108,MNE,179706.9439319087,3394421.1437672353,32026315.620743345
109,MNG,26809.6787109375,67669298.57285942,191726909.89536828
110,MOZ,23991523.70323989,504966004.5816252,1058618588.7020429
111,MRT,9454.7939453125,78175926.66857001,162764844.24407893
112,MUS,692189.9873200061,363985.0585822611,96388918.60248972
113,MWI,426463.00770909927,161196007.32592288,333272596.26664865
114,MYS,10128168.674456188,71039393.51767768,3015557398.1325517
115,NAM,18379.1640625,17144813.224685963,86346556.84982419
116,NCL,0.0,511174.36821767763,36227850.79621255
117,NER,28998.7724609375,154557637.8256051,270530730.73660445
118,NGA,955005493.7027228,2517792406.4189134,9057749659.024317
119,NIC,252629.2708141851,20314883.312515322,205609396.3765592
120,NLD,43706538.909198835,653564.4591930914,2193808082.964009
121,NOR,880362.084842218,51550.415563725495,321866599.73355603
122,NPL,20945833.51251149,71006283.4571079,405422744.24916947
123,NZL,536349.3749597886,111915.62552849264,866388534.3575351
124,OMN,59991.43327971814,3915137.6085860906,223463201.46346143
125,PAK,154873743.9906403,1278089705.5727406,3633932311.120894
126,PAN,371059.22701822914,46025597.09046799,321470335.2139133
127,PER,108220096.09487966,314959412.8635724,1543309567.2240946
128,PHL,156589652.00846732,108084360.40543044,2265639629.108105
129,PNG,0.0,17297651.602665436,57391243.66669352
130,POL,8214513.368307673,11138292.899795113,2707774326.97207
131,PRI,272739.1572725184,7430907.8548330255,459821093.1239024
132,PRK,1106823.8797353706,30763562.375294887,477063270.561669
133,PRT,15670356.683162902,4876178.755156633,817510367.8520036
134,PRY,1063558.0639399511,79151197.25832182,629074272.4166865
135,PSE,34300.05523131127,136813358.56997547,400847559.62226534
136,PT-30,416303.3609260111,8396.3330078125,41958475.129779235
137,QAT,0.0,783170.2096162684,362095606.4775746
138,REU,0.0,44140.2576439951,43624926.701688826
139,ROU,17765335.292350262,33700191.2609777,1095878490.1142488
140,RUS,35088346.274037786,1051612169.5588263,11471278006.602356
141,RWA,42030963.758371636,58896661.0243796,325536176.5559778
142,SAU,1163278.884509038,106758265.04895447,3488184285.535742
143,SDN,1174189.1581839768,895072219.2816491,1331470592.0934582
144,SEN,458520.2139705883,250382028.0194739,527337764.5880164
145,SGP,645998.9831648285,2695104.0935623473,578089911.057959
146,SLE,28324446.266697302,54800362.06881511,205318780.0650923
147,SLV,28971.265625,19774117.350000005,219625893.4090114
148,SOM,1647343.4375,97850003.75878906,234059770.14061365
149,SRB,6874649.678919652,6653422.977242263,310344268.26128006
150,SSD,532008.1413028493,85743117.43019682,154962941.9173866
151,SUR,0.0,17156113.43501455,118015910.52027772
152,SVK,188061.6528971354,1149527.087800628,126483001.14936635
153,SVN,846832.2264744177,655520.9690353095,110754868.89139128
154,SWE,755697.1522633273,501610.72859604773,675258016.1438131
155,SYR,256334.043884038,179618063.10811305,613332985.0183986
156,TCD,27780.102814797792,113536821.30473703,231539812.44205263
157,TGO,34551469.34999618,173138710.95653352,326800958.219396
158,THA,105117696.76142389,161378322.06994864,4325344037.685742
159,TJK,222437.2120825674,160204100.66822547,349383633.43971395
160,TKM,482538.4367072611,110180728.15298522,373715244.974566
161,TLS,1232.9373774509804,5871626.232153798,26328151.88461245
162,TUN,245603.1917490043,207073754.65458608,823926795.1705532
163,TUR,29643282.503904324,247235550.64459074,3925163201.9326773
164,TWN,16518740.823119627,3682203.990299479,2370103485.0182242
165,TZA,30835062.84205729,715468107.6513731,1906055653.748785
166,UGA,37605821.697265625,162962664.41746324,691764379.8623736
167,UKR,71876724.74929342,182127397.21141812,3472636371.6731424
168,URY,81496.95947074142,95580756.86007969,317491733.7970589
169,USA,16542055.933392689,606564569.5535424,96984788304.0944
170,UZB,3217886.134438189,1464019852.1187124,3012900503.3416247
171,VAT,1554278.6660692398,1123410.4719152118,415065511.9716257
172,VEN,2536130.0640816484,408822374.09821534,2228739853.273193
173,VNM,157088105.34713918,531924031.2961894,3889727872.983348
174,XK,182820.86533011644,1922385.9323663453,43514274.498259276
175,YEM,48118.22062653187,79388079.60032554,264505161.47899058
176,ZAF,4587086.517612591,535137146.0272748,5577649928.982144
177,ZMB,438663.6519990809,338548307.84102696,782256593.1202996
178,ZWE,137690.82642463234,246690513.77624467,708953352.2817969
179,disp-ISR-PSE,8478.9208984375,37274882.114342116,165719874.94432032
