geography,land_consumption_2000,land_consumption_2005,land_consumption_2010,land_consumption_2015,land_consumption_2020,,landconsumption_changerate_2000-2005,landconsumption_changerate_2005-2010,landconsumption_changerate_2010-2015,landconsumption_changerate_2015-2020
global,40.33119774,43.49846229,44.60060042,45.66086913,45.52110713,,0.015120056,0.005004347,0.004698871,-0.000613113
AFG,21.76686622,19.74329446,19.56265911,19.03588482,16.92134346,,-0.019515001,-0.001838262,-0.005459346,-0.023550024
AGO,49.71867371,45.06472963,35.92204251,27.15436194,23.76286736,,-0.01965614,-0.045349758,-0.055962682,-0.026682705
ALB,34.3209306,35.62510695,37.33468025,36.74381507,34.37365772,,0.00745905,0.009374404,-0.003190549,-0.013335881
ARE,89.84967188,73.11721745,45.48998108,45.00685292,48.95578233,,-0.041214818,-0.094914353,-0.002135468,0.016820545
ARG,55.66629973,55.92367596,56.15554226,56.67767681,56.97771045,,0.00092258,0.00082751,0.001851009,0.001055944
ARM,42.05359648,45.94798889,49.8582973,52.29191415,57.29189433,,0.017713034,0.016334969,0.009531365,0.01826348
AUS,139.0420612,135.8052148,128.580809,122.3411487,117.9144782,,-0.004710974,-0.010932809,-0.009948825,-0.007370768
AUT,55.00193335,54.78882537,54.75845349,53.78518559,51.42191254,,-0.000776416,-0.0001109,-0.003586738,-0.008986735
AZE,50.42167506,60.62010315,63.55673409,67.11020053,69.78192463,,0.036841086,0.009461277,0.010880619,0.007807793
BDI,68.16531072,53.08521414,42.03484978,34.7621085,29.68073051,,-0.050007472,-0.046679881,-0.037994215,-0.031605985
BEL,77.480226,80.88542095,84.05900408,88.30474678,90.2505845,,0.008602168,0.007697077,0.009854976,0.004359242
BEN,57.53313496,57.62877446,59.62472608,59.59697068,51.93534445,,0.000332192,0.006809671,-9.3122E-05,-0.027521035
BFA,78.79190614,66.24961671,59.48188777,53.56011034,44.32889064,,-0.03467612,-0.021551564,-0.020973456,-0.037833592
BGD,10.91717821,10.58619537,10.50016357,10.26732676,9.640307313,,-0.00615734,-0.001631999,-0.004484828,-0.012602741
BGR,35.07180817,37.20449151,39.11235355,41.34665048,42.74142486,,0.011806374,0.010001774,0.01111061,0.006635435
BHR,85.36378382,69.63964106,53.42965997,50.47505146,49.70390553,,-0.040717595,-0.052993588,-0.011377368,-0.003079134
BHS,70.50849617,71.42958543,73.00663104,74.12816346,72.21497177,,0.002595786,0.004367626,0.003049052,-0.005229629
BIH,30.506971,35.75576228,43.60866777,52.69184125,65.89226956,,0.031751245,0.039708899,0.037840939,0.0447121
BLR,36.19886518,38.70102886,41.71554732,44.00059584,44.23878592,,0.013367683,0.015001542,0.010665856,0.001079748
BOL,51.8862652,50.2731667,49.58272018,48.42689298,45.48826868,,-0.006316529,-0.002765816,-0.004717418,-0.012520168
BRA,46.69518699,43.53428424,46.75993826,47.00345594,46.9691752,,-0.014018465,0.014295609,0.001038863,-0.000145918
BWA,201.6829556,173.3402789,164.3240264,155.2022268,142.9103752,,-0.030288069,-0.010683269,-0.011422259,-0.016502254
CAF,39.75389436,36.71225418,34.06927819,32.99397096,32.61097762,,-0.015919441,-0.014942911,-0.00641424,-0.002335176
CAN,100.4299723,98.28006516,97.56774283,97.69654961,95.32125383,,-0.004327896,-0.001454855,0.000263861,-0.004922687
CHE,60.99139291,63.04758009,67.0114791,67.41082048,67.43492524,,0.006631385,0.012194851,0.001188322,7.15032E-05
CHL,32.22497226,34.75807147,37.65041399,39.66033916,38.20421568,,0.015134026,0.015986426,0.010401545,-0.007481161
CHN,29.17616115,31.81537239,37.00533795,41.74563315,43.99062869,,0.017319521,0.030222518,0.024106536,0.010476355
CIV,37.49777104,35.2789999,33.94714757,32.90721332,31.25558275,,-0.012198722,-0.00769661,-0.00622259,-0.010298775
CMR,41.4368296,37.02492258,33.59835256,30.40245339,27.19191801,,-0.022515764,-0.019422847,-0.019990745,-0.022320702
COD,30.4820584,28.16186389,25.80109032,23.19338986,22.02672375,,-0.015833909,-0.017510393,-0.021309887,-0.010322177
COG,31.02799017,30.07209121,27.87739064,23.59464054,20.73046758,,-0.006258433,-0.01515631,-0.03335928,-0.025883022
COL,21.85239181,21.0310409,20.7302601,20.22363865,19.59427625,,-0.007662179,-0.002881002,-0.004948465,-0.006322931
CPV,321.8590976,303.7359102,293.6725174,291.154196,289.9750293,,-0.011591051,-0.006738669,-0.00172245,-0.000811639
CRI,55.14783857,53.42512137,52.35429215,50.92836522,48.77054774,,-0.006347296,-0.00404943,-0.005522776,-0.008658688
CUB,27.64400786,27.7789514,28.17148475,28.79090893,30.04054341,,0.00097392,0.002806339,0.004349878,0.008497648
CUW,112.4321772,121.5979596,135.2234756,152.9356488,162.881194,,0.015674004,0.021241719,0.02461769,0.012600765
CYP,87.36601986,86.56453864,86.73389039,86.12072273,82.85082328,,-0.001843234,0.000390891,-0.001418927,-0.007741677
CZE,52.81067362,54.85719152,56.23875974,58.04901502,59.05916642,,0.007603994,0.004974581,0.006336309,0.003450404
DEU,59.97493303,62.19228358,64.41363064,65.74204592,64.76356606,,0.007260848,0.007018867,0.004082685,-0.002999099
DJI,21.22554891,21.18383862,21.26208038,21.30856365,17.70424109,,-0.000393406,0.000737332,0.000436764,-0.037060964
DNK,71.26617878,70.96961981,69.86098688,68.17762867,65.99041271,,-0.000833994,-0.003148906,-0.004878176,-0.006521403
DOM,31.25263107,29.38663977,28.64231137,28.52358437,31.50219687,,-0.012312685,-0.00513102,-0.000830755,0.019865204
DZA,32.43945594,33.68164164,34.4284939,34.78389228,33.86657257,,0.007515495,0.00438632,0.002053976,-0.005345189
ECU,41.00484964,40.36464846,40.75431692,40.54922392,38.88922365,,-0.003147196,0.001921481,-0.001009026,-0.008359891
EGY,16.17954867,16.66280986,16.8967341,17.01288717,18.44753796,,0.005886253,0.002788215,0.001370154,0.016191958
ERI,17.41389827,16.85574158,17.89477066,19.1821238,25.01441398,,-0.006515459,0.011963437,0.013894053,0.053094685
ESH,6772.741674,6008.948894,5086.704597,4428.471712,4751.906992,,-0.023931228,-0.033323929,-0.027715131,0.014098294
ESP,31.75648406,32.90016342,34.11562046,35.0567791,33.85100754,,0.00707614,0.007255546,0.00544273,-0.007000049
EST,44.17836864,46.30300546,48.26089835,47.56139962,47.50263311,,0.00939432,0.008282961,-0.002920035,-0.000247271
ETH,24.66370727,24.21845385,23.40267928,22.32365156,20.96693133,,-0.003643585,-0.006852877,-0.009440758,-0.012540045
FIN,46.89440847,49.51730344,51.81362179,52.95767979,55.54615504,,0.010884745,0.009066182,0.004368003,0.009544239
FJI,104.5257387,98.92496867,95.8430176,94.63723257,96.76903478,,-0.011014335,-0.00633001,-0.002532128,0.004455215
FRA,64.81113783,67.20925536,69.71525717,72.09617397,74.4953157,,0.0072667,0.007321645,0.006716357,0.006547054
GAB,89.67273431,86.00921128,83.00349649,79.59013182,68.65457277,,-0.008342472,-0.007114333,-0.008398524,-0.029560475
GBR,63.44783753,63.00917036,61.90247905,60.74787359,59.55328547,,-0.001387567,-0.00354401,-0.00376563,-0.003972123
GEO,37.00859295,39.7408972,40.79060938,41.90289932,46.17167725,,0.014246137,0.005214216,0.005380626,0.019402309
GHA,71.60220843,64.80405226,60.83655865,57.45223145,50.6215412,,-0.019951556,-0.012635447,-0.011447411,-0.025315329
GIN,51.17378702,47.70932152,44.41001505,40.91647696,38.01932985,,-0.014020126,-0.014332358,-0.016386433,-0.014687626
GLP,69.54259339,84.20239769,120.6305832,131.7206191,134.0647135,,0.038256796,0.071901889,0.017590063,0.003527892
GMB,21.53021778,22.77738357,24.83584113,26.59589691,25.80331438,,0.011262134,0.017303944,0.013693827,-0.006050801
GNB,45.25383839,41.60631389,40.64667675,38.38021892,34.17030392,,-0.016807112,-0.00466697,-0.011474977,-0.023237047
GNQ,33.89347913,32.2764566,35.61126366,37.27385966,20.08332494,,-0.009776915,0.019664783,0.009126057,-0.12368048
GRC,36.31820805,39.73172713,41.81482491,43.75624145,45.68472156,,0.017966165,0.01022018,0.009076665,0.008625931
GTM,45.43282463,40.91050666,38.49945528,37.81526291,40.29495272,,-0.020969587,-0.012148565,-0.003586258,0.012702683
GUF,75.80946302,80.15566,80.86278664,80.65921625,80.57594375,,0.011149473,0.001756646,-0.000504131,-0.000206586
GUM,77.84897869,77.13134716,76.1560408,74.16661107,76.66713477,,-0.001852201,-0.002545074,-0.005294068,0.006631813
GUY,54.67577304,57.06390566,62.42466727,66.51151411,69.51906825,,0.008550217,0.017957743,0.012682914,0.0088452
HKG,30.61918016,30.00244001,32.03964636,32.99345631,33.18130011,,-0.004069581,0.013139075,0.005867033,0.001135444
HND,37.88565142,35.37572376,33.48023878,32.13700125,28.43797472,,-0.013709327,-0.011014088,-0.008189465,-0.024456533
HRV,40.80306991,43.56954859,46.26841335,48.82967199,52.76293989,,0.013120232,0.012020206,0.01077573,0.015494178
HTI,23.92178379,22.51640162,26.21330228,28.66671665,32.9297027,,-0.012109099,0.0304046,0.01789395,0.027727663
HUN,58.65727265,62.38072629,66.76805133,71.44344667,73.35458167,,0.012308957,0.013593668,0.013536298,0.005279757
IDN,31.90884182,30.73493915,30.04000691,29.51320246,28.35770713,,-0.007496611,-0.004574007,-0.003538471,-0.007987771
IND,17.35553216,17.64188116,18.40605341,19.17260656,19.36177743,,0.003272875,0.008480783,0.008160584,0.001963674
IRL,64.22130927,62.8410651,62.23791987,62.8721179,61.52246531,,-0.004345263,-0.001928861,0.002027666,-0.004340078
IRN,36.28587429,36.75190814,37.29192146,37.54627282,36.67307501,,0.002552324,0.002917315,0.001359479,-0.004706256
IRQ,32.39196322,31.52572042,32.38081407,29.88165183,28.68020391,,-0.005421322,0.005352471,-0.01606429,-0.008207503
ISL,65.5110616,65.45824383,64.65098459,66.3197237,59.59327447,,-0.000161313,-0.002481821,0.005096802,-0.021388924
ISR,37.43882067,37.59290329,37.36759074,36.27267761,34.1960591,,0.000821428,-0.001202304,-0.005947799,-0.011790874
ITA,55.65734308,58.23480657,60.42588905,61.89518988,63.22611498,,0.009053841,0.007386883,0.004804966,0.004254992
JAM,46.46853183,46.78796313,47.40479154,48.73159653,51.32097012,,0.001370125,0.002619468,0.005520862,0.010354365
JOR,33.99382266,33.71823556,30.52603571,25.27990258,21.41732198,,-0.001628003,-0.019891771,-0.037714047,-0.033161937
JPN,60.38469311,63.38490801,66.69744004,71.57930309,75.23324288,,0.009698028,0.010188157,0.014127879,0.009957445
KAZ,66.56208295,69.71011484,71.4137834,71.15500567,68.70385737,,0.009242067,0.004829094,-0.000726044,-0.007011066
KEN,37.70561449,34.13266212,32.23140056,30.08978124,29.28186117,,-0.01991085,-0.011462722,-0.013751106,-0.005443474
KGZ,58.14824256,61.10816127,63.98163889,66.84275664,63.80709993,,0.009929955,0.009190144,0.008749359,-0.009295695
KHM,25.34988544,29.13362924,34.12216625,37.33703947,36.43218128,,0.027823788,0.031610812,0.018007728,-0.004906673
KOR,22.46476358,24.59834889,27.13094875,29.89126006,31.10427261,,0.018146261,0.019599155,0.019378207,0.007955812
KWT,72.39930217,61.9958282,47.64280377,37.07097224,36.1482727,,-0.031025913,-0.0526671,-0.05017947,-0.005041016
LAO,66.15755235,66.79651337,80.30440129,99.52927967,115.7974686,,0.001922366,0.036834709,0.042925488,0.030278167
LBN,22.8821721,22.85661737,23.70350599,22.77983618,26.0354411,,-0.000223484,0.007276459,-0.007949441,0.026716592
LBR,54.13617644,40.41362122,47.67045443,43.30435819,38.29321551,,-0.058467154,0.033028983,-0.019211704,-0.024596108
LBY,88.04090543,87.89317285,88.67943178,99.67107733,108.5384355,,-0.000335882,0.001781169,0.023369512,0.017045763
LKA,43.77386329,44.3928614,45.13019882,46.14239917,46.70134464,,0.002808353,0.003294588,0.004436126,0.002408142
LSO,95.54582825,102.0679933,107.5772933,110.7319744,110.073457,,0.013206637,0.010514081,0.005780608,-0.00119294
LTU,47.46761043,54.78862315,62.77664922,69.46173604,75.70551804,,0.028686995,0.027220122,0.020238573,0.017215002
LVA,37.28660118,41.22176068,46.23182457,50.23956037,54.04687019,,0.020066449,0.022940423,0.016626873,0.014609773
MAC,19.06251644,21.88357117,23.18314049,23.73969684,23.45596758,,0.027602453,0.011537826,0.004744662,-0.002404735
MAR,17.79284331,17.41852493,17.181143,17.04231671,18.86424666,,-0.004252405,-0.002744369,-0.001622595,0.02031379
MDA,40.59244001,46.31176365,53.28117537,62.92472684,72.89588811,,0.026362832,0.028037417,0.033271223,0.029418607
MDG,58.77564351,53.75240997,43.77705849,35.81854715,28.06279678,,-0.017867808,-0.04105572,-0.040128813,-0.048804219
MEX,51.67004165,50.2676458,51.30947714,53.43462279,57.16423188,,-0.005503301,0.004102766,0.008116686,0.013493897
MKD,47.38080456,48.19190586,50.24532879,51.54297927,53.33145727,,0.00339478,0.008345301,0.005099685,0.006822068
MLI,65.04649664,54.55590016,48.05451073,43.85234023,39.0101553,,-0.035175296,-0.025377972,-0.018301584,-0.023401216
MLT,59.10358539,59.51681639,59.94667408,57.52499754,53.22432606,,0.001393462,0.0014393,-0.008247162,-0.015540809
MMR,22.63084,21.58652495,21.15397668,20.68822333,20.3683666,,-0.009448861,-0.004048273,-0.004452659,-0.003116315
MNE,41.28304698,43.21067718,43.7973051,44.58148042,45.38871168,,0.009127138,0.002696933,0.003549249,0.003588979
MNG,63.98458548,58.62052736,53.36492968,48.45236019,41.22202361,,-0.017511454,-0.01878623,-0.019314546,-0.032321677
MOZ,56.82390162,57.39692306,55.81246019,51.94809987,47.79148594,,0.002006731,-0.00559871,-0.014350401,-0.016679527
MRT,47.20020699,44.50516451,44.03599029,43.60155269,40.08438628,,-0.011758608,-0.002119596,-0.0019829,-0.016821175
MUS,45.47872807,47.70198484,50.5992096,53.89107588,54.69486014,,0.009545661,0.01179259,0.012605788,0.002960969
MWI,64.27571579,58.66925297,53.85459344,49.98343552,45.22448018,,-0.01825322,-0.017125618,-0.014919208,-0.020010625
MYS,56.34884856,51.94360471,48.94174142,47.24601027,44.99060748,,-0.01628064,-0.011905593,-0.007052486,-0.009782893
NAM,97.1834946,87.73648539,80.54308864,73.94609107,73.9414714,,-0.02045261,-0.017109107,-0.017091195,-1.24951E-05
NCL,71.1236687,74.48287857,76.79689394,78.29039386,71.7958853,,0.009229821,0.006118983,0.003852143,-0.017319549
NER,31.06600957,29.72027513,28.21707236,27.35353467,27.87114393,,-0.008856961,-0.010380456,-0.006216288,0.003749225
NGA,44.91253464,44.64946057,46.14392956,47.38626439,44.29960528,,-0.00117494,0.006584638,0.005313398,-0.013471328
NIC,36.67401423,37.19525963,37.38205886,38.72749706,38.28992915,,0.002822576,0.001001911,0.007071797,-0.00227259
NLD,68.19073237,72.03260848,74.45137076,76.85560745,76.58239286,,0.010962049,0.006605452,0.006356453,-0.000712248
NOR,49.45546361,49.74217407,48.75056127,48.87240716,49.10470272,,0.001156121,-0.004027287,0.000499251,0.000948368
NPL,36.51649572,31.76590074,29.09219704,27.58064435,25.91286537,,-0.027874137,-0.017584683,-0.010671152,-0.012474931
NZL,170.102088,156.224229,151.8104647,146.0343227,138.133933,,-0.017021287,-0.005731908,-0.007758224,-0.011123588
OMN,93.63276152,87.04858429,42.97968363,47.00511758,54.41671264,,-0.014582787,-0.141147775,0.01790579,0.029282969
PAK,17.39254114,16.79122347,16.51883892,16.58011497,16.24288553,,-0.007037021,-0.003270971,0.00074052,-0.004109817
PAN,57.55740875,54.17923008,51.62571741,49.78474925,48.41876038,,-0.012097047,-0.009655536,-0.00726225,-0.005564269
PER,35.17988741,33.66822171,32.51502986,31.48179491,30.4730297,,-0.008784024,-0.006970395,-0.0064586,-0.006513484
PHL,24.30189781,23.18333247,22.1683234,21.71118181,20.3035736,,-0.009424171,-0.008953839,-0.004167395,-0.013406102
PNG,39.07872209,37.05359983,34.71237575,32.7429871,27.18516652,,-0.010642524,-0.013053847,-0.011681494,-0.037203466
POL,41.38615674,45.36794334,49.83090438,54.53888305,59.20820643,,0.018371863,0.01876592,0.018055707,0.016429251
PRI,84.67713748,89.73591944,95.0827845,104.343028,119.4713336,,0.011605097,0.01157536,0.018587178,0.027078528
PRK,12.29095175,13.44513695,14.25548742,15.24627752,16.89206523,,0.017950823,0.011704888,0.013438692,0.020501724
PRT,46.57450712,48.97206406,52.78286383,55.87972865,57.75287761,,0.010039336,0.014987315,0.011403018,0.0065943
PRY,69.80557362,67.58155867,68.48640841,72.38402777,81.90554551,,-0.006475743,0.002660033,0.011070071,0.024716207
PSE,33.71596955,32.99596452,32.00480776,30.57308821,28.81092142,,-0.004317266,-0.006099827,-0.009153196,-0.011873124
QAT,169.708819,128.8813694,72.04271878,59.29859927,57.05958054,,-0.055038355,-0.116326621,-0.038934715,-0.007697938
REU,48.46666242,56.23965731,66.31031973,76.62470418,73.4055537,,0.029749193,0.032944677,0.028914799,-0.008583987
ROU,34.87114912,38.99149524,44.70677446,49.88359277,52.83961897,,0.022336747,0.027356298,0.02191342,0.011513824
RUS,35.89201131,38.58218905,41.51416022,44.33197959,46.19512286,,0.0144552,0.014648767,0.013134345,0.008233585
RWA,36.7791509,33.12447293,31.66481032,31.05209863,29.67246341,,-0.020931752,-0.009013279,-0.003907917,-0.009089387
SAU,58.46709671,53.42730359,47.27964194,45.07373498,46.97901766,,-0.018028446,-0.024448424,-0.009556019,0.008280273
SDN,46.77687703,42.66446097,39.14470633,37.31221433,37.9694434,,-0.018404544,-0.017220216,-0.009588893,0.003492196
SEN,31.8559228,30.05986197,28.98524777,28.06702634,28.17216209,,-0.011606506,-0.007280758,-0.006438311,0.000747777
SGP,30.28364586,28.46554682,25.01977759,23.82268975,23.51324498,,-0.012382671,-0.025805571,-0.009805628,-0.00261492
SLE,29.1470126,28.59132966,29.83754967,30.90790946,26.1110671,,-0.003849782,0.008532829,0.007048893,-0.033730574
SLV,31.4818337,32.2861905,33.77181493,35.05618158,36.43148246,,0.005045786,0.008997395,0.007465077,0.007696268
SOM,18.50750161,18.00608049,18.02831447,16.95241031,12.3760327,,-0.005493327,0.000246808,-0.012306705,-0.062929654
SRB,33.71232981,35.41303784,38.35013393,41.00756331,40.53329866,,0.009843283,0.015935593,0.0133997,-0.002326539
SSD,30.18791474,28.24407935,28.2603859,32.66043443,46.08037929,,-0.013311563,0.000115435,0.028940671,0.068844572
SUR,105.4229415,104.4272449,108.7458727,111.772784,106.7753801,,-0.001897933,0.008104622,0.005490876,-0.009148144
SVK,50.03004615,52.94565552,56.0287763,58.48507641,60.65717848,,0.011328454,0.01131988,0.008581239,0.007293274
SVN,52.74360492,54.14825731,55.41010002,56.95741369,57.32666731,,0.005256652,0.00460722,0.005508394,0.001292411
SWE,53.66526818,53.8341928,52.21167103,50.81477831,48.84158071,,0.00062856,-0.006120553,-0.005423766,-0.007921042
SYR,23.69427127,21.6529011,17.76371459,26.62745385,23.2677565,,-0.018018771,-0.039596315,0.080956983,-0.026974844
TCD,52.1856093,47.38294052,43.68072238,40.63405651,37.42751052,,-0.019308903,-0.016271078,-0.014460065,-0.016440107
TGO,65.20518705,56.4544791,55.44766509,54.41337309,50.02277917,,-0.028820878,-0.003599006,-0.00376593,-0.016826293
THA,51.13953615,51.47336754,52.69753042,54.10451308,50.07982395,,0.001301328,0.004700811,0.005269802,-0.015459878
TJK,62.08606671,62.53460087,61.50167471,59.61087086,54.29058325,,0.001439684,-0.003331122,-0.00624529,-0.018697433
TKM,60.30500782,61.34946869,60.48484226,58.76746335,58.31606081,,0.003434272,-0.002838744,-0.005760887,-0.001542163
TLS,53.38722809,48.98442243,39.19552009,31.94144116,26.41700662,,-0.017213841,-0.044587976,-0.040931639,-0.037979254
TUN,67.93439593,67.29957565,66.99720103,64.91179891,61.47991656,,-0.001877708,-0.000900618,-0.006324287,-0.010863769
TUR,26.58009148,25.73939416,25.31760936,25.5634487,25.80451885,,-0.006427966,-0.003304498,0.001932674,0.001877216
TWN,31.84280633,33.13808269,34.92774315,36.46560909,37.24129126,,0.007974332,0.010519658,0.008617631,0.004209705
TZA,62.93509407,54.79874351,49.04475886,43.96888371,38.1580276,,-0.027687335,-0.022186788,-0.021850226,-0.028349208
UGA,55.97427843,50.32696409,46.8449993,43.56264634,38.53505272,,-0.021270255,-0.014339347,-0.014528843,-0.024526352
UKR,41.04544316,44.24566648,47.10778751,49.84485434,52.55008086,,0.015015522,0.012536179,0.011295388,0.010570274
URY,59.94572913,62.85211905,64.33078651,65.94951913,68.78405788,,0.009469002,0.004650732,0.004970255,0.008416483
USA,131.9394872,120.8994956,121.4729109,121.9978981,120.2404586,,-0.01747676,0.000946339,0.000862507,-0.002902051
UZB,74.52436212,77.17270329,79.11086464,79.80622681,78.16017078,,0.006983946,0.004960882,0.001750263,-0.004168268
VAT,35.31726675,36.46218102,40.11446823,41.07285945,40.8855362,,0.00638072,0.019092297,0.004722095,-0.000914237
VEN,39.47035151,38.90164046,36.75208359,38.92581151,43.62216839,,-0.002902675,-0.0113683,0.011492529,0.022781581
VNM,28.90668356,30.85313235,34.08022727,36.83109475,35.6877001,,0.013033089,0.019895818,0.015525017,-0.006307272
YEM,19.71745763,17.05736192,15.34007672,13.811417,12.12174613,,-0.028984505,-0.021222619,-0.020994646,-0.026098906
ZAF,85.32236142,77.20192146,72.72709298,69.4194171,64.72393353,,-0.020002445,-0.011942073,-0.009309474,-0.014007113
ZMB,75.918346,65.93853331,57.13851287,50.53231269,43.78924409,,-0.028187075,-0.028648925,-0.024573077,-0.028644954
ZWE,47.07306551,47.301798,49.08270904,51.4979465,63.37669113,,0.000969466,0.007391701,0.009607024,0.041510843
