geo,urban_built_volume_2000,urban_built_area_2000,urban_population_2000,urban_built_volume_2005,urban_built_area_2005,urban_population_2005,urban_built_volume_2010,urban_built_area_2010,urban_population_2010,urban_built_volume_2015,urban_built_area_2015,urban_population_2015,urban_built_volume_2020,urban_built_area_2020,urban_population_2020
KHM,318154148.2392154,29970042.94509805,1182255.557558826,449839188.9529414,46861011.30196069,1608485.194851867,613220287.8509808,70858360.87843165,2076607.9258417014,755849494.1960783,93376115.87450972,2500897.692729556,803118192.701958,102837352.7568622,2822706.4406721704
KOR,13272990018.164711,733157017.8823521,32635866.174205877,14753714488.325514,850170230.4039212,34562085.21289563,16254580437.788166,976511737.2431302,35992539.23162827,18053968661.858868,1141390439.1019511,38184754.89942616,18888645647.933483,1222969109.4901927,39318363.901224464
KWT,1520715099.1882296,113923255.47450952,1573540.7947793433,1527643214.6745007,114446880.92941141,1846041.6490997188,1534599359.3176413,114962335.22352919,2413005.2418887583,1566427898.078429,118036233.32548961,3184060.9020837117,1792764458.027452,139901297.39999995,3870206.9824441457
LAO,161234866.02352935,21333578.898039203,322466.2663771274,187481431.6666668,25794595.458823495,386166.79459502525,219197646.51372555,31619581.47843132,393746.55649003823,246872442.35686314,37423899.07843136,376008.9412986357,257823284.9333338,40007095.20000004,345491.96697669534
LBN,799776368.8627431,47028071.23529428,2055227.5815284117,861564300.7372532,51907015.64705881,2270984.144661029,924399833.2627455,57471512.45882335,2424599.65530517,1006235018.2196096,64867417.36470567,2847580.5027280953,1050123463.2235279,68592188.93333302,2634569.8797664074
LBR,390509826.8470575,48343958.14117658,893006.5127685571,420562425.4627442,52370372.30980384,1295859.4336131902,459247117.97254854,57820500.8862745,1212921.118169283,497493831.5647068,63523873.84705882,1466916.4144839186,513529484.07058835,66683595.99215679,1741394.5291313299
LBY,1727292584.1411757,209276860.9647072,2377041.216675046,1957266765.0117574,246664297.17647043,2806410.204278834,2139558012.6509764,277552542.3764723,3129841.236124024,2343146749.7725406,311023181.7764734,3120495.835953366,2771305057.45097,380887600.929415,3509241.6736641256
LKA,1208392700.9137297,134866826.6509804,3080989.8079557484,1322574444.4117596,150213235.8274517,3383725.020281504,1411119021.4901977,162877987.29411793,3609068.6843754626,1504443898.811769,176481795.0431376,3824720.8254590556,1654448217.4980445,198657589.5882342,4253787.36094242
LSO,182341166.3960785,23596255.90196082,246962.70193006675,201995092.0784316,26563788.090196047,260255.80816987858,221589337.80392146,29603078.38039216,275179.6172057822,238554070.03137255,32162641.262745082,290454.8701917001,245692417.29803944,33341162.764705848,302899.2063789067
LTU,542899200.2274506,55141476.9568627,1161665.3219507644,579960748.8901951,60616502.67450978,1106370.249664934,623112356.6549016,67142334.61568621,1069543.1414471269,662967038.3058827,73575416.27843134,1059222.2492063,693197555.1137253,79022854.94901964,1043818.9579185783
LVA,218501217.37647048,25376583.01176466,680581.8232018696,225430406.98823544,26445384.992156934,641539.4334746258,235644937.33333343,28137035.80784305,608607.5138113609,242902185.16078433,29399753.84705883,585191.3040920896,250037526.12549073,30775434.650980428,569421.2179949599
MAC,457981545.15294194,18870046.929411765,989903.2473744958,606361976.8392166,29266456.937254917,1337371.1591636182,684018790.0078417,35090561.30588239,1513624.149405398,757371500.7529408,40457678.14509809,1704220.5050596667,828041189.1725501,46073919.05882358,1964272.797646673
MAR,1652226495.5254912,161856085.05490196,9096695.914630845,1772472850.8980398,176218208.51372543,10116712.480863063,1937105305.1411767,197097215.17254892,11471717.285525749,2055064134.0117662,212983580.4431372,12497337.311634568,2418162418.2549043,262243491.47451013,13901614.851969708
MDA,418926183.66666704,37591094.89803925,926061.4756238644,441904293.50588185,40963633.21568622,884518.9642112842,456617523.3607846,42880845.250980385,804802.9149124831,470786637.3254905,44993057.913725495,715029.8487794276,478586212.7725492,45994188.956862785,630957.2480924802
MDG,647200999.027453,72314918.27058817,1230355.1940594006,688178552.6313713,77605400.66274498,1443756.674405234,728153829.4156859,83242625.66274497,1901512.5396982678,762312013.6666667,88301105.88235268,2465234.156779686,767102037.9607852,89366459.4431369,3184517.214524959
MEX,24920199568.69407,2692287114.5490136,52105379.21717014,27188280203.32551,2968847759.631369,59060807.64750902,29902050998.890156,3313915539.717647,64586811.72892124,33169368986.94507,3732340071.4117656,69848721.23359394,35032607163.86274,4029128538.6666636,70483384.55920179
MKD,142514596.90196094,19556962.588235304,412761.3021645522,157960784.26666668,22419799.81960784,465219.19854331017,166281036.6117648,24219598.60784314,482026.8707779915,173478635.42745107,25702887.419607833,498669.02886783803,181024670.2039217,27412841.48235301,514008.85868656146
MLI,915500685.9882356,116564992.35294105,1792025.679686272,989808124.8862755,127237311.45882408,2332237.413111969,1173808368.8862731,155336221.6431371,3232500.327171603,1271215993.9529433,171537275.62745136,3911701.74094761,1345053808.6039262,187200940.81176487,4798774.559501637
MLT,168215399.5921567,16669430.101960778,282037.54461027554,170301812.1137258,16975612.18823527,285223.7941737345,176043238.56470606,17760142.18823528,296265.6804918087,179375820.6901959,18337978.788235288,318782.7826319345,186449333.79607832,19240667.98823532,361501.39258341736
MMR,1283517094.062745,148673128.2666664,6569492.261888808,1364402776.1215687,160460395.54509795,7433359.280605951,1466718068.8470597,175851556.99607825,8312931.402071794,1550679233.9764695,188970308.2039215,9134197.036884045,1582594910.4392147,195114581.09803927,9579294.447444547
MNE,43113892.937254936,5157130.282352942,124921.26088194021,46262033.419607826,5719164.050980391,132355.34420279102,49566372.19607847,6268081.243137258,143115.6832341631,52687758.95686271,6857763.921568631,153825.39694658646,55517831.647058755,7444716.949019601,164021.33203841074
MNG,403350547.6901968,42023787.04705873,656779.8593125219,467339219.2823528,48719034.88235292,831091.7195596118,525503305.4901971,54848441.9607842,1027799.386022276,574546194.1960776,60092037.88627451,1240229.3231888504,583968262.6078427,61643994.01176481,1495414.0678489662
MOZ,1328129870.4352946,181537079.17647055,3194730.98482611,1535177369.3921587,213278014.69803932,3715844.0442766044,1808992264.5725486,257146713.090196,4607335.212064395,2031679283.5137289,295171813.0666663,5682052.159999439,2143529735.964709,319400424.5254898,6683207.6511525735
MRT,187665000.65098032,24986539.243137278,529373.509956936,234197518.84313762,31068556.725490194,698088.7963978369,299161686.71764654,39129776.61176465,888586.2758699834,369030522.8980382,47926280.8196078,1099187.479795496,403251848.27450883,53175135.57254903,1326579.761005742
MUS,173569314.1254899,23016741.505882364,506099.0595282134,186706461.8078432,24899675.423529427,521984.05388349795,200361581.61960804,27019139.67450982,533983.4334549173,218727004.65490177,30215881.72549022,560684.3291593967,222750028.31764722,30896243.780392203,564883.8611469632
MWI,484842605.39215684,64219481.80392152,999125.1131089953,524024332.11372554,70111165.59215684,1195024.0039775784,562901725.3647064,76335988.80784324,1417446.1998084127,611210698.3137262,84313403.77647059,1686826.903784805,654540682.4117658,93033341.50196084,2057145.6239361991
MYS,6170257684.070589,585569842.6509805,10391868.82486688,6576152217.788246,636242180.1843146,12248710.571516575,7159424857.364713,710397756.352942,14515171.217770942,7699638780.866693,779567548.5607834,16500177.351572974,8108247764.568618,836215141.5294111,18586438.11211945
NAM,221915084.94901973,21632719.45882354,222596.64100758792,235970978.33333364,23095533.83529412,263237.5086824568,251487903.50980443,24716174.603921607,306868.9694250274,266265639.74901995,26319519.427450992,355928.4749988279,278344664.76470643,27977533.098039247,378374.03783475293
NCL,70705838.4392157,5411731.454901962,76089.03693515013,98444931.82745099,8037655.576470581,107912.79459902512,111898176.00000009,9271535.38431372,120727.999651714,122984028.0156862,10288914.647058822,131419.8861331993,123710212.95294122,10366918.105882354,144394.3209544546
NER,317025174.30980414,44190057.56470591,1422456.8323673108,404371331.8862746,57054383.3882353,1919712.4903587312,467296520.3411765,66843288.199999884,2368895.233194883,529848584.4352944,76770500.19215688,2806602.5511346874,598991692.1098027,89596797.72156844,3214679.596513557
NGA,13084611077.882366,1507109396.9058826,33556542.9370569,15626868941.454906,1834813467.678433,41093743.226676315,18879919240.399982,2259343584.019609,48962964.476819925,22303243616.882343,2714364848.3450956,57281680.31455146,23263736709.470577,2894223280.8235254,65332936.102111384
NIC,390584896.41960806,49803039.77647056,1357992.5956028008,440708603.15686285,57028192.40392155,1533211.3007716378,476480591.0117647,62660828.98823526,1676227.3371644546,509502032.1294108,68133173.79999967,1759297.1135319278,530062059.4627451,71652185.01960762,1871306.2836149174
NLD,4395939803.835298,470319530.5450975,6897118.042231364,5060640163.784304,553847658.2666667,7688846.342300391,5374198744.270584,597552821.509806,8026082.198810049,5753576449.247056,648820658.2431352,8442073.12610556,5948548629.309808,677471466.3568611,8846308.414710604
NOR,334403050.0196084,44946577.88627453,908829.3710739594,365478983.862745,50158770.96862742,1008375.1244244748,396245835.49803984,55598991.898039185,1140479.0108983896,439220309.17647064,63730561.51764702,1304019.2865100298,467809931.12548983,69119488.24705887,1407594.06786136
NPL,647351106.1843125,63526723.67058839,1739671.9596633138,750276837.792154,76728863.60392159,2415447.4392120764,863401086.1058805,92965048.05882342,3195532.050229891,961934774.286271,108896068.5607844,3948278.625461032,990900308.7921525,114347374.31764713,4412764.57402129
NZL,2982633216.6274514,277130999.5490193,1629203.9842321484,3196865098.3882394,296309094.4509797,1896691.0337911178,3283995473.486278,305233340.7764707,2010621.213717823,3378122709.6509805,315167971.2117643,2158177.3743201634,3681870489.074506,347976578.1843138,2519124.5234699566
OMN,412996174.83137274,47672110.57647066,509139.2136953224,428697321.6392153,49391213.96470594,567398.2450982785,452001956.18431294,52250647.717647105,1215705.7312238864,475381568.45882404,55313966.89019602,1176764.780898562,512413607.4588244,60937587.87058824,1119832.215318574
PAK,6996047508.690201,792174187.2941184,45546776.69257642,7716030457.584315,888997582.6509811,52944181.47571397,8461331854.6941185,995964935.2392161,60292671.90693658,9228001628.549011,1111354840.839216,67029380.86707474,9771984199.094122,1210262504.6431365,74510314.20580126
PAN,641447321.0509788,66937340.9568629,1162966.5479354598,671981411.7176465,70705770.85490206,1305034.6184077398,714703357.0549017,76429019.64313738,1480444.6983479697,765437400.3490195,83392142.50196081,1675053.9826560176,878198284.0352944,99016767.53725493,2045008.3143367935
PER,3709444933.0470495,410152760.60784227,11658728.630710721,3943766874.576461,439124153.1843136,13042689.243565641,4164887227.231369,466787429.2980385,14356051.074264793,4365637635.61569,492168655.9215685,15633436.955107976,4571774905.698034,517684769.2117646,16988293.395519823
PHL,4877961142.21961,549771199.4117634,22622562.387611944,5093079573.411791,582754653.1568595,25136794.031095214,5318246505.458851,618898323.7725487,27918138.535826053,5550851792.294128,658011030.3568578,30307471.789883576,5622696688.360796,672105674.3254858,33102826.50524028
PNG,81352817.38039207,11336009.466666665,290081.37572423415,86295238.72549015,12316757.627450977,332403.8064572973,88116299.10980387,12659327.815686274,364692.05988961866,89714040.67450976,12966421.929411773,396006.0787918641,89851582.04705879,13009200.866666678,478540.4149548602
POL,4022960286.027448,436003761.61568564,10535014.50591834,4351467188.149018,485801917.843138,10708043.655696454,4718110670.160787,546343484.0627449,10963948.794626798,5090764799.423533,609097008.9098046,11168124.002981573,5496139470.14902,680628934.1176469,11495516.840394568
PRI,1005020747.6705873,108726414.72156864,1284011.4576428682,1126089179.5137248,123951698.0,1381294.1214545006,1161019023.9843156,128552634.3254904,1352007.4638090176,1247796692.5647051,141178946.29411718,1353027.1157983784,1287748127.164705,146605203.278431,1227116.1530851922
PRK,1080032532.4274516,88516079.21960782,7201727.011308156,1342676177.7882361,107085821.7294118,7964650.869062964,1419906529.0392158,116657904.65098043,8183368.355065081,1502770783.5215697,127341972.10588232,8352332.030701521,1661536808.5882347,145447690.12941164,8610414.897901172
PRT,1499901774.1529396,134866438.70196092,2895713.7077271263,1625117020.8039222,150863069.93725467,3080594.474450215,1780375902.1882348,172165560.37647048,3261769.9737827824,1874473023.2588196,186769418.8470587,3342346.56017787,1972396157.2313683,202358469.06274438,3503868.160862211
PRY,1102217688.19216,140262726.643137,2009334.203173715,1184866592.8941166,153631969.00392103,2273282.4163965266,1258698083.7137237,165694727.76862773,2419381.1825286094,1323803724.1215677,176310899.7686276,2435770.7797983284,1376037960.090192,184737199.54509813,2255490.741127599
PSE,824115554.5921559,80250566.99215677,2380194.550303614,907316720.2274506,90472730.21960793,2741933.1890645716,1036230022.0352951,105556640.78039227,3298149.5018999325,1109258231.7411776,114242376.48627445,3736697.310899348,1153585385.827449,119788250.61568618,4157737.5770314876
QAT,771767892.9058814,76359914.09411764,449946.647206766,821505668.7254887,82481857.96862718,639982.7871043946,887079118.7921565,90791529.87450966,1260245.7459704073,960744774.5294095,100873974.70588264,1701119.0137312727,1059998168.5843141,118934747.8156865,2084395.761073179
REU,50244803.423529394,5355722.764705878,110503.23041700918,75812698.90588233,8019766.91372549,142599.85387330604,96176146.00000001,10280355.623529417,155034.0228459189,119591411.75294124,12910564.019607825,168490.88238277903,138230065.0745099,15234890.184313724,207544.108256301
ROU,2036425364.2117639,205901250.09803918,5904630.484520042,2163457295.5098066,225902470.08235288,5793634.450687692,2356557205.792157,260563447.01176503,5828276.589996183,2528152232.9176474,290978263.38431346,5833145.674006518,2629465958.427455,312445693.90980405,5913095.135391917
RUS,24281803904.725475,2169717147.149019,60451255.5333448,25737054691.24315,2352512194.725487,60974046.648185484,27414312958.078434,2574628588.0588217,62018081.88809483,29465861394.074516,2852648703.682352,64347424.35992126,31023946969.580437,3081856325.239215,66713889.57810514
RWA,569349362.2666665,54982318.490196064,1494931.6977409227,644269338.568628,63678881.219607905,1922411.9081618479,721311523.431373,72755204.68235306,2297667.471945158,803661078.6509805,84174340.76078439,2710745.6327841636,854869181.756861,93343032.03921553,3145779.6660598107
SAU,8415280938.999985,736198387.1803927,12591669.993324615,8888301831.870579,787212572.8627461,14734274.799995339,9554045022.066664,859911923.1058841,18187784.167522125,10242253303.27844,936226050.1568629,20770988.92674026,11820859580.792173,1130787488.596077,24070053.929789208
SDN,2625005261.5882344,330135682.0862745,7057668.297475535,2715841223.105875,342652323.9333333,8031329.030222386,2834651032.9019566,359969472.64313745,9195865.964565149,2987987478.349017,383182355.62745166,10269622.49652936,3313311715.5960693,436827702.4235307,11504717.03934497
SEN,991513997.8784323,119383219.21176468,3747598.836332936,1069807630.9882349,130245601.34509787,4332874.232091692,1176326678.7647054,145587207.0745098,5022803.6074211905,1279846160.5607853,160951094.6823526,5734526.085399066,1376250257.6156874,179310728.0588234,6364819.5505391285
SGP,2022281893.941177,143621577.40784335,4742545.797851082,2065451791.4196067,148657061.08627447,5222350.445267541,2126843060.8039207,155526263.63921565,6216132.939800954,2193663667.678426,163643410.5333333,6869224.7720512925,2260970575.1843114,171347727.76862764,7287285.439692631
SLE,341116656.2313722,30507059.866666656,1046661.6350408763,417373601.6392162,38594059.32156865,1349851.853066573,515279810.56078327,49294531.023529455,1652097.1585679934,611746293.3607837,60099162.560784325,1944458.9949373775,629366131.0078429,62848994.28235289,2406986.8164918395
SLV,634920809.9137255,60097742.85490197,1908965.7679835663,664678929.1607836,63247992.745098,1958979.7300741684,687972054.4666657,65867158.317647174,1950358.8555148402,711209090.9882321,68652302.05882342,1958350.8233880398,746562283.3725476,73638977.49411748,2021300.603683386
SOM,381308050.95686245,47850787.643137224,2585480.66934755,439151468.6509805,56101690.45098037,3115708.0788246817,499551360.38039196,64951485.58823521,3602748.647892898,557444704.243138,73782054.69019607,4352304.677850343,589964009.4862739,80258341.53725499,6484981.371268283
SRB,507036345.0509804,55211880.41960785,1637735.5327356805,543022846.219608,61311179.76078427,1731316.5857028575,590850956.0509813,69986040.43137246,1824922.9729800741,643233596.7137252,79515166.027451,1939036.5973726748,664869599.2549022,83517351.93333337,2060462.7476241258
SSD,116717505.33725502,16444630.117647063,544742.1678640076,152629409.37647048,21147214.462745097,748730.8825678987,202061512.99215692,28130618.592156876,995408.1551908543,250847042.12941176,35633386.17254903,1091026.0929473343,282890842.8313728,41526670.439215705,901179.006685308
SUR,160100978.49411744,21760085.815686256,206407.50020162264,175882153.52156883,24654639.188235246,236093.93523601384,193963059.50196093,28071422.349019516,258137.8185562331,207098677.94117656,30623033.84313726,273975.76353018696,212417321.53725463,31666982.81568622,296575.6972533209
SVK,281584392.2274511,30771276.596078455,615055.9306591357,287844518.79999983,31743882.22745098,599555.9393609605,294210118.0470587,32744121.909803938,584416.1530948218,300273854.3725491,33704108.74901965,576285.6238957349,306529276.54901916,34769002.1843137,573205.0691667155
SVN,249883740.78823537,28024760.439215705,531339.4956548095,254107145.43137252,28736360.890196092,530697.7974019302,260059260.35294092,29910666.91764706,539805.3225843031,265739473.5254901,31168720.768627394,547228.5125077142,269514925.7019607,31903906.858823508,556528.1981006666
SWE,1143058528.564705,123593286.3647059,2303040.5054512303,1203755525.4392133,132843344.1686275,2467638.823145046,1257948081.8745105,141376126.28627473,2707749.5028713197,1331616203.2039216,152867525.2862745,3008328.09600461,1392277651.6862733,162393157.51764694,3324895.614988975
SYR,1586324710.815689,143584611.0941176,6059887.196063626,1716683204.4588234,159498465.90196067,7366147.618744415,1819550511.3176448,173021878.82745078,9740185.701075302,1916834590.5019596,185722347.69019574,6974844.41121351,1978712601.6588216,194186110.82352936,8345716.992074002
TCD,415182464.227451,57395451.48627461,1099832.928128139,447551088.0509804,62387644.027451105,1316668.8968185668,479218914.35686207,67344291.47058825,1541739.4172422625,511546161.21960765,72760951.5803921,1790639.621872876,535611704.831371,77762648.34117638,2077686.9006437557
TGO,814393949.0901968,78972776.38823551,1211142.5479599698,932470274.3176465,90002883.59999993,1594255.8507772498,1051884956.6862731,101797186.2509803,1835914.751035088,1155114107.3725467,111725807.86666662,2053278.4778723824,1205598874.329411,117204060.98039196,2343013.7812189506
THA,6210087935.18038,600352839.847058,11739504.99120145,7373115820.5843525,751130476.0862767,14592604.086837793,8778687036.74511,948778110.8980366,18004223.410452724,9770908875.54116,1101004607.564712,20349589.061131675,10026313136.564611,1147778582.6274533,22918981.97686798
TJK,559007647.368628,67029905.09803915,1079628.7903950615,641496994.2862748,79333801.85882363,1268638.493800306,701401135.1372547,88410970.45098054,1437537.609685863,805423447.1372545,104464858.07058817,1752446.434152904,821428610.5843115,107658738.58823532,1983009.4306765029
TKM,579661187.4549016,73328213.43137255,1215955.6242561352,647335584.5098041,83708172.09019607,1364448.1993566314,696097972.3647063,91186958.4549019,1507600.1696781341,743868365.2078434,99026513.41176467,1685056.7943537529,800541126.7411779,109362967.94509801,1875349.0276701842
TLS,58359919.26274512,7476051.333333321,140034.45395010314,60576271.12156861,7789797.015686267,159026.00519425317,62329167.2196078,8043272.47843137,205208.97437102607,63764965.34117646,8245438.27843137,258142.3372890851,64361108.83529414,8345596.850980388,315917.58187964343
TUN,1587921432.5803926,201114815.8980394,2960426.9404634926,1723671055.6627455,220610603.8078429,3278038.556236085,1852413222.462744,240529080.9058819,3590136.2626941428,2038636502.4980383,268270379.9960783,4132844.636819394,2099697386.3215659,278765380.0549023,4534251.1127874
TUR,8461573490.137247,739773602.2078424,27831868.181648035,9345980526.66275,835853684.1019615,32473712.428421363,10207597839.643145,938995615.3215683,37088636.68370427,11029227382.168633,1042805797.5686277,40792844.878049016,11772466403.06667,1142975204.8823526,44293606.537920296
TWN,6911284969.517651,488552456.09411824,15342631.897445578,7472488285.33725,542267275.8235278,16363869.959322577,7979564558.666649,596227177.2313709,17070303.532072388,8443521545.46664,647262444.3529391,17749941.945427533,8793410975.921535,685770751.2901981,18414258.152723964
TZA,2442928336.2352934,303586887.3450973,4823809.224888446,2700460069.313729,338683437.45882326,6180496.409089797,3052651615.2352996,392043647.9098034,7993589.061400323,3410562825.8941183,450223281.7882353,10239588.63201062,3586533855.725496,487714402.3686269,12781436.386970412
UGA,920444826.1529396,111250861.18431404,1987535.4235735037,1044853870.270586,129028850.79215726,2563811.5295720133,1173751289.3607817,149935969.72549036,3200682.5051099956,1292877498.4745092,171373711.52156848,3933960.0764710703,1327875775.1568484,179368794.50980395,4654691.815477732
UKR,7504722077.286274,747792781.5333332,18218655.323674414,7899191807.396075,802733607.9725491,18142649.25557814,8240636361.847053,854462922.4941181,18138464.31115798,8543225422.003924,904010676.2901955,18136489.476943746,8780261991.29413,943598139.858824,17956169.133630183
URY,887426283.3686277,97768657.19215688,1630952.8404451609,924859474.188236,103535566.66274506,1647288.400656217,950539993.8078439,107435408.32156838,1670046.5539595797,976723301.207845,111515712.8509807,1690925.3368088116,1008982035.2745092,116839207.1843137,1698637.8935181843
USA,58632131347.65874,6791615035.427449,51475226.87894295,157986490343.54926,18495942621.341156,152986102.51601386,172181814664.5645,20586975889.913723,169477916.83820456,184594069889.8783,22463265745.325455,184128301.3134908,191356518189.58008,23564249925.60386,195976048.3881824
UZB,5063930751.501962,646121050.3058829,8669930.636375725,5686526306.670585,743329167.8431376,9632021.896177666,6285970415.02745,837159617.5568625,10582106.786011158,6748233431.894129,912113584.1529429,11429102.973525578,7061034488.1058855,968447302.3176498,12390547.418551845
VAT,856835323.2313734,79300096.17254914,2245363.3443433633,905502400.6431376,85169994.94117627,2335844.7728994773,1065738034.6588229,105487578.07451005,2629664.1268366957,1104688818.8156912,111093077.94117647,2704780.7096247408,1122979946.8313754,113934861.06274547,2786678.9006780926
VEN,5360474292.180393,522288334.89803946,13232421.675167322,5773657962.941181,570163516.3333333,14656541.717663042,4794491654.078434,461093116.0784317,12546040.142171413,6773094334.95294,692379308.8784319,17787151.557273842,6986571050.321565,719862884.2156866,16502226.06440278
VNM,3913218336.137275,430765710.5843146,14901941.612771373,5044414391.290187,582804229.6196091,18889629.194512416,6541409320.701941,801650030.203923,23522437.9197126,8135632923.5646925,1049466230.8274465,28494027.610348426,8497970154.039207,1118485914.0941145,31340935.695858598
YEM,645530732.1960788,57705465.160784215,2926617.936750546,674564533.1882356,61141905.81176468,3584487.8057552953,702842843.6862757,64595707.556862645,4210911.63559089,727830959.9882362,67652198.68235302,4898280.799235345,756088511.443137,71981211.38039215,5938188.328669114
ZAF,10546930596.682377,1295685064.5176454,15185761.891278597,11268266586.690226,1398518038.2509754,18115067.758501425,11932170578.878456,1495141599.3294115,20558247.80098929,12582857223.262747,1592930126.4156795,22946463.58281132,13450093335.862728,1735654850.3176415,26816275.76949421
ZMB,1325248723.9019606,196575873.25490192,2589306.5854323404,1403512826.7803926,209974101.77647072,3184391.4509844435,1484637407.4352934,224493470.72156867,3928934.4342462067,1553788430.560784,237247922.76078445,4694974.5641790815,1601239721.650981,247777882.45882368,5658418.810306642
ZWE,763935778.403923,112941058.09019636,2399271.363829381,814709474.6862737,122141318.2627452,2582170.72957982,890921537.9254913,136203119.95686287,2774971.525246875,952946673.5960764,147882134.6549024,2871612.26258183,1124651882.7490175,184677858.45098054,2913971.2905229945
