,CO2e_tonnes_urbanonly,population_urbanonly,CO2e_tonnes_percapita_urbanonly
Australia,80354671.28743464,11003768.399275573,7.302468424610312
Iraq,36087405.81995019,5425937.924703932,6.650906501463396
Syria,4695060.623414362,5481783.803304909,0.8564840920183244
Libya,14052225.799750881,1932344.0533441938,7.27211377054284
Sudan,8441482.546180144,3031620.7503452296,2.784478416444029
Myanmar,7265056.807636549,5579867.111157263,1.3020125144395738
Thailand,188340456.6490806,30322193.55272169,6.2113071180556245
C�te d'Ivoire,7895431.186972789,8259135.78131676,0.95596335936664
Cameroon,4992361.910367467,5458765.524723161,0.9145587748286098
Ethiopia,3598728.0947394944,4723224.061002399,0.7619219516712372
Ghana,14121573.597686222,11172461.641988354,1.2639625939385206
Mozambique,3377781.0994572295,3639410.310254522,0.9281121971710313
Tanzania,9206592.577003136,9456183.383775912,0.9736055450023313
Zambia,4139832.2675938373,3107270.243678556,1.3323051884579173
Bangladesh,46593113.64511105,47928392.13513127,0.9721401359291277
India,341135408.9593621,182906226.2143251,1.8650836334003624
Spain,27523132.58429761,17028277.99573804,1.6163191951168694
France,68766009.75433071,21619850.776728608,3.180688454535947
Italy,82552346.03358671,37720444.65777226,2.1885305643282464
"Korea, Dem. Rep.",10284864.430461284,1201135.9468245136,8.562614796145057
"Korea, Rep.",168767247.89038965,34540590.66036678,4.886055642471678
China,6975675590.210446,754690385.0943607,9.24309588141667
Japan,519266026.4201401,93585050.64216058,5.5486001541597485
Saudi Arabia,181364833.7840226,4753150.762075294,38.1567601918093
Turkey,105497364.57703085,31559809.703620333,3.342775687425292
Algeria,17263524.091090456,8960091.171477487,1.9267129943995605
Egypt,84147174.45397209,34174739.042574495,2.462262384773224
Morocco,11746850.006515382,8112718.448594627,1.4479548478044741
Indonesia,280914753.80538154,90968317.22921525,3.0880504593434797
Malaysia,52863721.975717425,12662870.35186888,4.174702931228811
Philippines,29101133.28669152,28049245.892724663,1.0375014500564415
Vietnam,81038331.60603647,33348808.244513903,2.4300218170275336
"Congo, Dem. Rep.",10242459.17059988,14270786.714571474,0.7177221112933887
Nigeria,78100481.87866856,52463304.899673924,1.4886687376637986
South Africa,100470370.07648942,28390479.214280747,3.538875456034981
Brazil,299270030.2775,89695390.83341515,3.3365151486246694
Albania,606830.1806936185,744875.8238204211,0.8146729445201011
Bulgaria,3428854.1515147155,831077.466066951,4.125793673292171
Greece,10272612.939450968,3959179.016758816,2.59463209316073
Croatia,1889821.9458330818,544571.9368464543,3.4702888965905894
Macedonia,530189.8254730648,152258.6017363422,3.4821666521748647
Malta,440308.1834156453,216037.120531446,2.038113553506444
Montenegro,131761.07001732336,33175.342553901595,3.971656654433778
Portugal,5659028.290789565,2999773.914095056,1.8864849328142548
Serbia,2486494.993335659,1367458.5496434812,1.818332990044875
Cyprus,890115.561308441,396445.3006168475,2.2452418023961167
Israel,13475318.545115704,3012279.19670242,4.473462672340368
Jordan,9284849.682745773,2541565.7899499233,3.653200605493165
Lebanon,5754768.418745869,4602214.182305337,1.2504347235450035
Palestine,12850759.002571708,3508743.8698635623,3.66249560503583
Yemen,1068453.0063242333,2661211.1169862915,0.40149126069118896
Western Sahara,5463.22548280264,181.41067750684763,30.11523664364476
Tunisia,7349668.6709946785,2858246.091341125,2.571391138523738
East Timor,40296.30689091402,234272.91760339175,0.17200582680723236
Cambodia,3560635.2025507777,2357942.649137911,1.5100601381685785
Laos,688133.5208082781,414894.7381505138,1.6585737478276716
Singapore,30817611.16244545,2862182.9943905883,10.76717010157734
"Congo, Rep.",5976638.338865148,776519.1421590288,7.6967044524462604
Angola,9701289.025865726,11844114.92635221,0.8190809601383665
Burundi,286938.3375273958,718840.2833239576,0.3991684163839246
Benin,2821172.686098314,3437286.1375041334,0.8207558443612177
Burkina Faso,2828275.3567949133,2748388.0564146396,1.0290669653413096
Botswana,392100.49923751457,106372.06584909162,3.6861228190658757
Central African Republic,674342.5618908231,1518178.2286398201,0.4441787855797314
Cabo Verde,22100.856067113386,5011.393376421932,4.4101219774714835
Djibouti,182341.94435390114,291602.96106415545,0.625308960130155
Eritrea,123788.72292100856,147355.56915944407,0.8400681672714023
Gabon,2362218.4733975604,467573.9307098028,5.0520748019710675
Guinea,1289808.5720548802,1703452.3945034966,0.7571732419506911
Gambia,2526.889309906737,25355.905435240507,0.09965683601244148
Guinea-Bissau,146457.09479786115,289195.30386832845,0.5064297132035849
Equatorial Guinea,1099932.8538903948,52856.18692701165,20.809916829779574
Kenya,12693039.380802315,9929757.651082778,1.2782828974097085
Liberia,1059518.1745155049,1021831.8830719048,1.036881107418869
Lesotho,189560.02841736298,183050.7547911372,1.035559938737499
Madagascar,1250404.2148252886,1322655.6281035997,0.9453739796337586
Mali,1846844.0383265058,4704950.101455961,0.3925321201079251
Mauritania,1424395.5714020594,1042153.6253586364,1.3667808053845056
Mauritius,681290.7947778443,372488.8181582699,1.8290234808830286
Malawi,735403.4189823088,1793461.3878835926,0.4100469761716673
Namibia,554923.6250557911,350551.76097878546,1.5830005346610532
Niger,533595.2568072154,963982.3780151185,0.5535321692352003
Reunion,70481.85708878265,63179.42226799697,1.115582488073568
Rwanda,807329.4604760704,1027805.1755812065,0.7854888062998313
Senegal,5109829.560418708,5096155.245291492,1.0026832610996006
Sierra Leone,786898.1193895249,1372131.6249597326,0.573485885082357
Somalia,1778427.3756404053,562367.6643605124,3.1623926629258037
South Sudan,464135.68128373544,11932.18136283078,38.897806458887445
Chad,820286.6355079766,672088.40694985,1.2205040691457498
Togo,2010164.186956906,2063124.6431977253,0.9743299773886983
Uganda,5148902.03910012,5190736.00250536,0.9919406489975509
Zimbabwe,4104541.351431541,3102656.1196733154,1.3229121092103873
Ireland,6634271.245874402,1243667.7323769887,5.334440279474404
Slovakia,6540095.6826806385,375970.01682440506,17.395258637699182
Slovenia,767914.2002307961,226403.73604745904,3.3917912029058788
Bosnia and Herzegovina,431189.44236242416,223090.8812824019,1.9327972523296393
Armenia,1765944.0631966384,960693.5351152008,1.8381970926710531
Qatar,18025658.96980938,3844165.9729399867,4.689094876937247
Oman,814177.9429671118,23077.20339391654,35.28061563914369
Tajikistan,1491970.0797127227,1283134.1028322037,1.162754599398118
Kyrgyzstan,3342813.661782003,1150252.2237683553,2.9061570955547213
Moldova,849405.8893493975,273998.6657920104,3.100036589207967
Azerbaijan,30634117.70024022,3298143.7018502178,9.288290768851237
Denmark,4187003.55279894,1538999.7638032937,2.7206005168263947
Georgia,1866716.1344194359,1004798.7798976568,1.8578009565353664
Austria,10327719.692029044,2058018.2256748325,5.018283882613597
Lithuania,3071885.706795632,369547.86682022666,8.31255158696399
Turkmenistan,8373283.990348118,1044095.4587091781,8.019653682528284
United Arab Emirates,51864741.80122574,1643825.9325376493,31.551237131999592
Sri Lanka,11107665.095955104,3224874.3776026582,3.444371406557684
Norway,3787743.284466497,685156.6138321721,5.528288289127277
Czech Republic,5389766.54937441,1335542.2000589354,4.035639270055688
Finland,8079886.824232161,722886.33430572,11.177257669412587
Afghanistan,2606645.513158491,3615488.431298877,0.720966354253288
Hungary,10325081.076362364,2362553.3977347426,4.370305909810221
Nepal,4002137.4778407225,12434553.634950899,0.3218561433995959
Switzerland,4696991.309421341,2108058.295930512,2.228112627856933
Sweden,10842257.813119223,2196967.3690396654,4.935101889045613
Belgium,69710164.693866,7383774.012139554,9.440993803339126
Belarus,16746003.365529567,3126260.8756596977,5.356559811086097
Uzbekistan,30471809.307048567,3776644.142403842,8.06848836111236
Romania,12246891.048083212,4178713.3865090422,2.9307803420120284
Kazakhstan,41177992.87812955,2942148.2045063563,13.995893481864396
Netherlands,64700420.84392166,11330605.994939465,5.710234816462465
Poland,49373520.47205659,7884094.405819794,6.2624212662408745
United Kingdom,119087529.6877037,43354246.98285729,2.7468480708427974
Germany,381743321.22799504,42827398.86029445,8.913530389115266
Iran,190081799.39514706,22603991.421927463,8.409213923641571
Iceland,169745.9110611684,78350.63980387448,2.1664904267032465
Latvia,2460398.4210587386,375292.0214047799,6.555957176624916
Estonia,1525730.3923891375,288834.91855263495,5.2823612880140765
Kuwait,45666757.17604926,1662378.138985048,27.470739722269652
Bahrain,21168895.218164347,1714549.4534982836,12.346622708941034
Pakistan,54268491.46351849,37885361.77375362,1.4324395735641318
Russia,625194061.9918959,55918236.89340504,11.18050383426218
United States,1148824510.7555766,180741422.36850965,6.356177215498858
Canada,162650460.05195668,17317265.617039442,9.392386976608805
Ukraine,47445600.3389795,10857210.732867623,4.369962185163196
Cuba,4262616.466594316,1213468.7187761788,3.5127534815180885
Ecuador,7497156.60622856,4857017.692445531,1.5435720190785855
Peru,16794342.5200832,13019783.265042637,1.2899095306121597
Chile,28056945.169477925,7661542.211544571,3.662049283915859
Argentina,62442929.20162452,19106242.798861522,3.2681951055989558
Colombia,27489960.314735837,17501611.117137842,1.5707102695144022
Mexico,162442668.22348198,65288934.28482164,2.4880581985735772
Venezuela,18948373.282492265,7457115.021339516,2.5409790821609968
Guam,3169.476739262867,14778.414202373637,0.2144666332842262
Mongolia,10979565.321167711,732657.95617364,14.985936109271641
New Caledonia,553700.4381652797,59521.498284321184,9.302528567415655
Papua New Guinea,266221.72977452446,72077.38659623184,3.693554141548778
Fiji,307936.36264806945,203321.85840382442,1.514526598691945
New Zealand,12346224.152965212,1844027.9401735568,6.695247877753526
Jamaica,674381.5890586316,484829.1605668763,1.3909674662929208
Guadeloupe,228098.7014946105,70885.19341504063,3.217861030004777
French Guiana,56618.658971452925,43256.06460835701,1.3089184021727738
Haiti,3252299.174918834,3372307.6444601985,0.9644135463920362
Dominican Republic,14347541.51143136,6254409.0795335,2.2939883415015614
Panama,2695599.472964523,1270161.159849419,2.1222499617954727
Cura�ao,404983.9078722804,112327.57029459669,3.6053829599460445
Honduras,1613167.3720199764,959546.316603497,1.681177181451855
Paraguay,4887035.296959892,2122212.2501250496,2.3028023218092004
Suriname,584936.760262927,178828.43762168326,3.270938157500306
Guatemala,4496066.996657055,1970358.141102731,2.2818526758494704
Nicaragua,1009708.6463330312,738819.7036237804,1.3666509452584823
Costa Rica,11300768.778882451,3828447.5296278726,2.9517888625682414
El Salvador,2003323.3767590558,1744428.6398179114,1.148412340311134
Puerto Rico,1262495.853652414,1155787.7698884388,1.092324980886651
Bahamas,1203397.552842365,137047.77482863018,8.780861669203603
Uruguay,9723617.152461426,1413895.8271709895,6.877180741043025
Bolivia,7070193.269815145,2832139.208736481,2.496414458726205
Guyana,274603.1188945949,127042.74056212298,2.161501851105896
