,built_volume_cubicmeters_2015,built_volume_cubicmeters_2020,built_volume_change_cubicmeters,built_volume_changerate_relative2015,population_2015,population_2020,population_change,population_changerate_relative2015
Australia,15661625848.3451,16171295840.98822,509669992.6431198,0.03254259791278148,11022921.138674667,11003768.399275573,-19152.739399094135,-0.0017375375509034033
Iraq,4198766964.4901958,4462072829.541178,263305865.050982,0.06271028310878214,4664029.085894604,5425937.924703932,761908.8388093282,0.16335850930123155
Syria,1946758086.3176467,1983272867.219606,36514780.90195918,0.018756712073572542,4891431.686456006,5481783.803304909,590352.1168489028,0.12069106852366801
Libya,2494505140.1372423,2781814688.843122,287309548.7058797,0.11517697201059787,1744616.966460386,1932344.0533441938,187727.0868838078,0.1076036118487848
Sudan,3076995227.678424,3313538913.7607765,236543686.08235264,0.07687489533769071,2625934.3280695383,3031620.7503452296,405686.4222756913,0.15449221937470636
Myanmar,1443926331.7607834,1465474810.9921556,21548479.231372118,0.01492353090139648,5288462.85398262,5579867.111157263,291404.25717464276,0.05510188219535151
Thailand,15055902608.552914,15279328431.529308,223425822.97639465,0.01483974948466202,25576946.550818104,30322193.55272169,4745247.001903586,0.1855282839362936
C�te d'Ivoire,2880911337.031374,3016628041.6705875,135716704.63921356,0.04710894878808121,7343554.357889817,8259135.78131676,915581.4234269429,0.1246782387391542
Cameroon,2509018203.168625,2594538635.478431,85520432.30980635,0.03408521795569402,4151652.6135244016,5458765.524723161,1307112.9111987595,0.3148415902960463
Ethiopia,1699189214.9843135,1780702295.541178,81513080.5568645,0.04797175019594096,4265584.848199761,4723224.061002399,457639.2128026383,0.10728639309467247
Ghana,7155389838.137266,7310499310.517647,155109472.38038063,0.021677291648551138,9092822.55974155,11172461.641988354,2079639.0822468046,0.22871215935241074
Mozambique,2079867623.219612,2144002614.8196099,64134991.599998,0.030836093068614505,3140575.7405473916,3639410.310254522,498834.56970713055,0.15883538908702943
Tanzania,3505364895.5764713,3587192081.898045,81827186.32157373,0.023343414668422678,7507707.071792291,9456183.383775912,1948476.3119836217,0.259530145935551
Zambia,1559726076.3607845,1576290519.043138,16564442.682353497,0.01062009729362371,2463506.3019106872,3107270.243678556,643763.9417678686,0.2613201927953533
Bangladesh,5055584112.419602,5086516772.105883,30932659.68628025,0.006118513508714205,40677771.81070354,47928392.13513127,7250620.324427731,0.17824526766532173
India,56859750048.76085,58059771107.45882,1200021058.6979675,0.02110493024800273,170412415.45414218,182906226.2143251,12493810.760182917,0.07331514389305156
Spain,8861340843.149017,8962631185.756859,101290342.60784149,0.011430588711205286,15922230.727941863,17028277.99573804,1106047.2677961774,0.06946559729568415
France,18253872919.28233,18619316823.376457,365443904.09412766,0.02002007495670105,21067794.281896394,21619850.776728608,552056.494832214,0.026203810776080978
Italy,28538453008.399986,28901728873.43914,363275865.03915405,0.01272934678457265,36979174.537658915,37720444.65777226,741270.120113343,0.020045610249045637
"Korea, Dem. Rep.",1536493944.235295,1635133048.4392154,98639104.20392036,0.06419752227075162,1224566.5933365445,1201135.9468245136,-23430.646512030857,-0.019133827951479544
"Korea, Rep.",24114616780.505985,24882588523.62759,767971743.1216049,0.03184673221688621,33484938.12609332,34540590.66036678,1055652.5342734605,0.03152619038142518
China,531837637261.55994,556302582107.4117,24464944845.851807,0.04600077755275497,688449081.4461911,754690385.0943607,66241303.64816964,0.09621815967713951
Japan,107437944663.88614,109663267163.46669,2225322499.580551,0.020712630966111215,92325538.79078451,93585050.64216058,1259511.8513760716,0.013642074206901784
Saudi Arabia,10614489095.33725,11823186485.662764,1208697390.3255138,0.11387240398188099,4039932.9796028426,4753150.762075294,713217.7824724512,0.17654198375898952
Turkey,12271494780.352951,12818632675.741182,547137895.3882313,0.044586083861944535,27622926.393693395,31559809.703620333,3936883.3099269383,0.14252231113448466
Algeria,3935989316.203919,4099953807.196076,163964490.99215698,0.04165775814409303,7994856.257157084,8960091.171477487,965234.9143204037,0.1207319910794287
Egypt,10868953234.156927,11828366794.509869,959413560.3529415,0.08827101742768335,30961445.37341926,34174739.042574495,3213293.6691552363,0.10378371004326188
Morocco,2323721256.9294147,2419447863.2862763,95726606.35686159,0.041195391259343885,7448007.6009528525,8112718.448594627,664710.8476417745,0.0892468003868223
Indonesia,31085853295.82339,31282188831.811653,196335535.98826218,0.006315912711800685,81001707.91846815,90968317.22921525,9966609.310747102,0.12304196500126814
Malaysia,8504192548.33335,8752677417.466654,248484869.13330364,0.02921910195718718,10988010.682832763,12662870.35186888,1674859.6690361183,0.15242610490476255
Philippines,6882539789.760804,6949004857.298048,66465067.53724384,0.009657055326599684,25599565.433689047,28049245.892724663,2449680.4590356164,0.09569226733090692
Vietnam,11914193740.972548,12219259436.662737,305065695.69018936,0.025605232072152543,28484389.44345675,33348808.244513903,4864418.801057152,0.1707749014846648
"Congo, Dem. Rep.",4774732602.13725,5169190787.980384,394458185.8431339,0.08261367048420007,11506096.289380629,14270786.714571474,2764690.4251908455,0.24028048746145755
Nigeria,28906376176.9647,29668599295.070583,762223118.1058846,0.026368684661112765,45010951.21889292,52463304.899673924,7452353.680781007,0.16556756698029862
South Africa,16968187290.533312,17483033454.819595,514846164.2862835,0.030341848275892164,25010240.00261783,28390479.214280747,3380239.2116629183,0.13515420928823985
Brazil,48039710003.61958,49122386402.23138,1082676398.6117935,0.022537113536493424,83964046.59907089,89695390.83341515,5731344.234344259,0.06825950471052784
Albania,292751916.82352906,303675995.96078455,10924079.13725549,0.03731514128339774,638156.0807153356,744875.8238204211,106719.74310508557,0.1672314130196158
Bulgaria,816321548.8078432,832615259.6745111,16293710.866667867,0.01995991762126483,841938.1922370589,831077.466066951,-10860.726170107839,-0.012899671579514067
Greece,2434493935.32549,2446624671.976475,12130736.650984764,0.004982857617742594,3986794.1183887366,3959179.016758816,-27615.10162992077,-0.006926643516039252
Croatia,481788559.15686345,489787737.2431374,7999178.086273968,0.01660308850063322,553497.1750825454,544571.9368464543,-8925.2382360911,-0.01612517396273981
Macedonia,175281960.02745107,181024670.2039217,5742710.176470637,0.03276269945618628,156528.39315961878,152258.6017363422,-4269.7914232765615,-0.02727806334102255
Malta,184408279.99999964,189384110.25882334,4975830.258823693,0.02698268352605264,213328.83203936723,216037.120531446,2708.2884920787765,0.012695370176587265
Montenegro,53238023.61176465,55517831.647058755,2279808.035294108,0.0428229276864123,31082.25887762238,33175.342553901595,2093.083676279217,0.06734014038426689
Portugal,2033476807.5215678,2061638722.7568583,28161915.235290527,0.013849145036286249,2977670.2551035034,2999773.914095056,22103.658991552424,0.00742313859423098
Serbia,709553430.2313715,728901699.0509806,19348268.819609046,0.027268233786566225,1354889.2100272374,1367458.5496434812,12569.339616243728,0.0092770239243333
Cyprus,400264191.71764696,405383075.0509806,5118883.333333671,0.012788761621086048,367919.15960786224,396445.3006168475,28526.141008985287,0.07753371974264452
Israel,2362799489.172551,2425949481.4235296,63149992.25097847,0.02672676735387881,2728215.2831451492,3012279.19670242,284063.91355727054,0.10412078376373404
Jordan,1610894818.4078445,1701928914.7019596,91034096.29411507,0.05651150854410853,2326735.0793518913,2541565.7899499233,214830.710598032,0.09233140141501317
Lebanon,1020131031.0392177,1059099626.6274501,38968595.5882324,0.03819959828938318,3444278.418812506,4602214.182305337,1157935.763492831,0.3361911038225696
Palestine,1301926137.701961,1347486216.7058806,45560079.0039196,0.03499436541333905,3011159.594801646,3508743.8698635623,497584.2750619161,0.16524672950611022
Yemen,740465211.8392158,761217871.1450979,20752659.305882096,0.02802651491801389,2375143.165133982,2661211.1169862915,286067.9518523095,0.12044240366292716
Western Sahara,51454253.10980386,52374868.97647054,920615.8666666746,0.017891929452402536,169.99113938091136,181.41067750684763,11.41953812593627,0.06717725504708626
Tunisia,2049476509.5725467,2101763553.7490168,52287044.17647004,0.025512390082175374,2601701.0139329387,2858246.091341125,256545.07740818616,0.09860667157152396
East Timor,63899651.61568627,64396635.070588246,496983.4549019784,0.007777561259504229,177653.06993585074,234272.91760339175,56619.847667541006,0.3187102124831619
Cambodia,774369365.5490177,803118192.701958,28748827.152940273,0.0371254706499885,1858468.700043365,2357942.649137911,499473.949094546,0.26875564225692444
Laos,250862292.00392196,257823284.9333338,6960992.929411858,0.027748263295398062,373447.7924763938,414894.7381505138,41446.94567411998,0.1109845780564894
Singapore,1463046902.8941164,1490598718.3529406,27551815.458824158,0.018831806009993745,2619548.665964241,2862182.9943905883,242634.3284263471,0.09262447824653594
"Congo, Rep.",2115158507.0666633,2266696391.0862684,151537884.01960516,0.07164374845351916,871787.2795209438,776519.1421590288,-95268.13736191497,-0.10927910925044215
Angola,2427914804.6274457,2697628753.690193,269713949.0627475,0.11108872047268317,5656874.58174361,11844114.92635221,6187240.3446086,1.0937559698736534
Burundi,303716071.0705885,309226346.58823556,5510275.517647028,0.018142851309196448,564837.8214612841,718840.2833239576,154002.46186267352,0.2726489905797312
Benin,2106306165.8509831,2142010178.3372583,35704012.486275196,0.016951007913823476,2855619.9132209364,3437286.1375041334,581666.224283197,0.20369175238980552
Burkina Faso,1168447281.3490186,1200145277.6274495,31697996.27843094,0.02712830675752384,1958572.5942095474,2748388.0564146396,789815.4622050922,0.4032607545618449
Botswana,306089278.39607877,307668718.7882356,1579440.3921568394,0.005160064411380811,100494.21855527941,106372.06584909162,5877.847293812214,0.05848940743371176
Central African Republic,488665449.23137224,512847250.9137255,24181801.682353258,0.049485392757742754,1343381.2258281554,1518178.2286398201,174797.00281166472,0.13011719938538477
Cabo Verde,54343539.85882351,54423123.57254901,79583.71372549981,0.0014644558291978503,5137.172706708726,5011.393376421932,-125.77933028679399,-0.024484154508283614
Djibouti,107482834.87058817,107902089.47058819,419254.60000002384,0.003900665631910585,268744.066146067,291602.96106415545,22858.894918088452,0.08505823122310076
Eritrea,109002333.52549028,109395730.49411765,393396.96862736344,0.003609069236443156,147319.1399542266,147355.56915944407,36.429205217486015,0.00024728087082781573
Gabon,603193585.3764714,623304493.2705888,20110907.894117355,0.0333407191019207,406627.0470549172,467573.9307098028,60946.883654885576,0.14988398852537316
Guinea,983883277.5607855,995305079.5607857,11421802.00000012,0.011608899409609557,1425721.1156308744,1703452.3945034966,277731.2788726222,0.19480056501072968
Gambia,7463818.125490195,7560634.364705882,96816.23921568692,0.012971409215484923,25602.287124947947,25355.905435240507,-246.38168970743936,-0.009623424989533638
Guinea-Bissau,141939028.18431357,144777009.52941188,2837981.3450983167,0.019994369282373015,249270.17512129294,289195.30386832845,39925.12874703552,0.16016809362615586
Equatorial Guinea,233681520.23921567,245290587.3490196,11609067.109803915,0.04967901226387057,35404.232566199935,52856.18692701165,17451.954360811716,0.4929341238559404
Kenya,2988918746.8823557,3099281718.8156915,110362971.93333578,0.03692404554270732,8433942.377482835,9929757.651082778,1495815.2735999431,0.1773565915737711
Liberia,502642752.83921677,514244638.8941177,11601886.054900944,0.023081773266135416,877677.8068847948,1021831.8830719048,144154.07618710992,0.16424486873920896
Lesotho,239193970.45098042,245692417.29803944,6498446.847059011,0.0271681047595252,178245.07139089415,183050.7547911372,4805.683400243055,0.026961101155521534
Madagascar,765065980.4862747,767686709.8000007,2620729.3137259483,0.0034254945071014883,1061979.6909957284,1322655.6281035997,260675.9371078713,0.24546226196045007
Mali,1299890782.1647074,1345053808.6039262,45163026.43921876,0.03474370851681,3329679.3849220485,4704950.101455961,1375270.7165339128,0.41303397641274986
Mauritania,373190016.2980378,403252956.40784216,30062940.109804332,0.0805566569224494,813459.998990976,1042153.6253586364,228693.62636766036,0.28113690488940357
Mauritius,221037776.2078433,223417118.66274527,2379342.4549019635,0.010764415457494703,371452.3075047881,372488.8181582699,1036.5106534818187,0.002790427283773053
Malawi,641871558.109805,654540682.4117659,12669124.301960945,0.01973778732192031,1430803.7245636652,1793461.3878835926,362657.6633199274,0.25346429918647484
Namibia,270017765.3176474,278344664.76470643,8326899.447059035,0.030838339237654666,297811.7324573205,350551.76097878546,52740.02852146496,0.17709184284411345
Niger,541416192.6745098,598991692.1098027,57575499.43529296,0.1063424038924273,794921.7905360103,963982.3780151185,169060.58747910825,0.21267574935279088
Reunion,135580412.38039222,138247280.51764715,2666868.1372549236,0.019670010515771295,60693.881622254594,63179.42226799697,2485.540645742374,0.04095207917680787
Rwanda,627749321.3803926,652129612.176469,24380290.796076417,0.038837621906886735,805282.6034054998,1027805.1755812065,222522.57217570662,0.27632854756165076
Senegal,1796610012.7215683,1900509303.8196082,103899291.09803987,0.057830742544203874,4501215.032701353,5096155.245291492,594940.2125901394,0.13217324839357714
Sierra Leone,616716489.0392141,630350798.498039,13634309.458824873,0.022107904849545754,1194682.4572435229,1372131.6249597326,177449.16771620978,0.14853249634688384
Somalia,564890830.2313724,590066872.3176467,25176042.086274385,0.0445679779860519,508648.08951102244,562367.6643605124,53719.57484948996,0.1056124577232406
South Sudan,256503022.1215685,282890842.8313728,26387820.709804296,0.10287528190329821,10415.061513150209,11932.18136283078,1517.11984968057,0.1456659519259711
Chad,518104232.7372547,535611704.831371,17507472.09411633,0.03379140911785383,559853.6214439059,672088.40694985,112234.78550594416,0.20047166117543716
Togo,1161315259.7294092,1205803872.7686262,44488613.039216995,0.03830881637565239,1513243.7717821104,2063124.6431977253,549880.8714156148,0.36337890937957307
Uganda,1978148790.4156818,2007794837.466651,29646047.050969124,0.014986762974861663,4298408.853942577,5190736.00250536,892327.1485627834,0.20759475863826335
Zimbabwe,1745226769.129408,1908758768.8509755,163531999.72156763,0.09370243604683202,3004910.4905255716,3102656.1196733154,97745.6291477438,0.03252863253528982
Ireland,697342699.972549,713798379.7137274,16455679.741178393,0.023597694134929893,1135936.4378035902,1243667.7323769887,107731.29457339854,0.09483919257111276
Slovakia,301506215.61176467,306529276.54901916,5023060.9372544885,0.01665989182698126,383354.38810730324,375970.01682440506,-7384.371282898181,-0.019262519256284735
Slovenia,166712224.89803904,168812175.87450972,2099950.976470679,0.01259626267812697,216805.5301693383,226403.73604745904,9598.20587812073,0.044271038061731854
Bosnia and Herzegovina,204300519.37254903,215305851.93333256,11005332.560783535,0.05386835331884268,236269.2694020225,223090.8812824019,-13178.388119620591,-0.055776987641998364
Armenia,757678665.4039253,771809561.019608,14130895.615682721,0.0186502487939916,970073.7148823324,960693.5351152008,-9380.179767131573,-0.009669553584666878
Qatar,984314030.2588254,1060161897.4156866,75847867.15686119,0.07705657424888782,1925109.7281915997,3844165.9729399867,1919056.244748387,0.9968555125172531
Oman,134927329.18823534,135045490.17647064,118160.98823529482,0.0008757379913038224,22263.03237822988,23077.20339391654,814.1710156866611,0.036570535489262736
Tajikistan,812145340.9411757,821428610.5843115,9283269.643135786,0.011430552113218587,1145590.719437919,1283134.1028322037,137543.38339428464,0.12006328356236154
Kyrgyzstan,951890762.3529398,971979445.8705845,20088683.517644644,0.021103979902051206,1103793.7581668163,1150252.2237683553,46458.46560153901,0.042089806413380476
Moldova,472089268.1411769,478586212.7725492,6496944.631372333,0.013762110409655491,284531.1056980961,273998.6657920104,-10532.439906085725,-0.03701683118351654
Azerbaijan,2703943962.329415,2872682382.411766,168738420.0823512,0.062404555136188956,3006261.5918489024,3298143.7018502178,291882.11000131536,0.09709138778631797
Denmark,1069204412.5843151,1087164041.0313745,17959628.447059393,0.016797188859004206,1431957.27668428,1538999.7638032937,107042.48711901368,0.07475257038874251
Georgia,755997780.3647062,781100982.1058817,25103201.741175532,0.033205390800308064,1005148.965339583,1004798.7798976568,-350.1854419262381,-0.0003483915857267288
Austria,1482892531.745101,1508779985.1647086,25887453.41960764,0.01745740359831923,1969822.2088658228,2058018.2256748325,88196.01680900971,0.044773592465378334
Lithuania,674814184.0431371,694254795.3686273,19440611.325490236,0.028808836247353548,392067.30558359076,369547.86682022666,-22519.4387633641,-0.05743768593467389
Turkmenistan,772448704.5725491,800541126.7411778,28092422.168628693,0.03636800994335829,835971.9508036975,1044095.4587091781,208123.50790548068,0.24895991750128965
United Arab Emirates,3218464736.823532,3366734371.415696,148269634.59216404,0.0460684353305977,1245081.1426027517,1643825.9325376493,398744.78993489756,0.32025606708760407
Sri Lanka,1624506874.1843073,1698416751.090205,73909876.90589762,0.04549680772696578,3147197.8116490594,3224874.3776026582,77676.56595359882,0.024681183262801675
Norway,463858084.61176455,482732613.3098034,18874528.698038876,0.04069030879096631,633129.9839728349,685156.6138321721,52026.629859337234,0.08217369446456273
Czech Republic,1141459354.447058,1164404212.3960779,22944857.94901991,0.020101335942999725,1326534.3639208898,1335542.2000589354,9007.836138045648,0.006790503422331882
Finland,586606175.909802,605411993.2901962,18805817.38039422,0.03205867608063821,682354.4238797325,722886.33430572,40531.91042598756,0.05940008448326769
Afghanistan,911492060.0862728,955496230.8235282,44004170.737255335,0.04827707520907021,3243724.8399133007,3615488.431298877,371763.5913855764,0.11461008862746602
Hungary,1683522385.9019616,1711865446.6117606,28343060.70979905,0.016835571030802784,2321006.6101338933,2362553.3977347426,41546.78760084929,0.017900331442163603
Nepal,1606492408.6627398,1635786009.9058738,29293601.24313402,0.01823450959691637,6484134.088161835,12434553.634950899,5950419.546789063,0.9176891572388699
Switzerland,1671660571.2235305,1710836693.9725482,39176122.749017715,0.023435453000093028,2039553.2503076592,2108058.295930512,68505.04562285263,0.03358826037639316
Sweden,1346586018.333334,1379940279.8941166,33354261.56078267,0.024769499390811404,2012394.5310003366,2196967.3690396654,184572.8380393288,0.09171801811028572
Belgium,7673430484.098048,7834391124.160789,160960640.06274033,0.020976359973066204,6998402.129480345,7383774.012139554,385371.88265920896,0.0550656957873074
Belarus,2232982813.8627462,2294633215.1019583,61650401.239212036,0.0276089904751956,3051629.8761568572,3126260.8756596977,74630.99950284045,0.024456111170607878
Uzbekistan,6686791211.545104,6857690733.678441,170899522.13333702,0.025557777523884672,3147012.9601346124,3776644.142403842,629631.1822692296,0.20007263721033336
Romania,2568803755.298041,2643951337.8235345,75147582.52549362,0.02925392115707755,4299201.887430615,4178713.3865090422,-120488.50092157256,-0.02802578340734345
Kazakhstan,5025133204.058822,5254195316.658824,229062112.6000023,0.045583291685678665,2527150.7070354037,2942148.2045063563,414997.49747095257,0.16421557144005292
Netherlands,11590636381.113724,11803922072.847063,213285691.7333393,0.01840155145241862,11056252.694120228,11330605.994939465,274353.3008192368,0.024814311721107755
Poland,5667520629.541181,5889456996.050981,221936366.50979996,0.039159339862476515,7983337.103240604,7884094.405819794,-99242.69742080942,-0.012431229714767365
United Kingdom,23290070863.270573,23599323849.341133,309252986.07056046,0.013278318811741595,41613190.74894096,43354246.98285729,1741056.2339163274,0.04183904676813653
Germany,43188408710.11373,43860410467.26268,672001757.1489487,0.015559771179797632,43580886.3608495,42827398.86029445,-753487.5005550534,-0.01728940284316801
Iran,16191998187.337269,16800559629.345097,608561442.0078278,0.03758408535913405,21175236.480434112,22603991.421927463,1428754.941493351,0.06747291548850085
Iceland,79071214.73725474,79204490.89411747,133276.15686273575,0.0016855205437983757,67613.17391580141,78350.63980387448,10737.465888073071,0.15880730434936277
Latvia,246081545.09019616,250291200.56470644,4209655.474510282,0.017106750012347814,347953.0200812272,375292.0214047799,27339.001323552744,0.0785709556915777
Estonia,177778093.64705876,182896576.513725,5118482.866666257,0.028791414969427758,287873.8340134131,288834.91855263495,961.0845392218325,0.003338561639391832
Kuwait,1742535096.3725495,1797060319.3254914,54525222.952941895,0.031290745917512665,1404754.2035273202,1662378.138985048,257623.93545772787,0.1833943153975531
Bahrain,561151695.8705893,598873755.0509838,37722059.18039453,0.06722257004297436,1239564.067743216,1714549.4534982836,474985.3857550677,0.3831874431628524
Pakistan,9521934532.27058,9866798030.709803,344863498.43922234,0.03621779768286087,31838865.9048575,37885361.77375362,6046495.868896119,0.18990927274120134
Russia,35731246707.76082,36858627212.71379,1127380504.9529724,0.03155167000394939,54926930.72832713,55918236.89340504,991306.1650779098,0.018047725440567344
United States,213173774312.90604,217754998481.953,4581224169.046967,0.02149056179078783,170935862.3924499,180741422.36850965,9805559.976059765,0.05736397171909591
Canada,19145557535.529427,19425955921.419582,280398385.8901558,0.01464561088752864,16133978.290997129,17317265.617039442,1183287.3260423131,0.07334132380124718
Ukraine,8627368318.670595,8801304672.741188,173936354.07059288,0.020160997843823945,10996034.948009647,10857210.732867623,-138824.21514202468,-0.012624933969235225
Cuba,934644726.3176471,959380236.5921574,24735510.274510264,0.026465147213705763,1226130.3248603872,1213468.7187761788,-12661.60608420847,-0.010326476580415852
Ecuador,3322794150.9215703,3442389894.831376,119595743.90980577,0.03599252270160525,4359472.5714617865,4857017.692445531,497545.12098374404,0.11412965968424728
Peru,4408833304.325488,4572699639.070582,163866334.7450943,0.03716773201298532,11376963.714269264,13019783.265042637,1642819.5507733729,0.1443987686022861
Chile,3466863745.3725433,3558693203.3882375,91829458.01569414,0.02648776091597632,6813216.381634106,7661542.211544571,848325.8299104655,0.12451179918448445
Argentina,11974197936.086292,12304387030.164711,330189094.07841873,0.02757504893779461,18122893.001011636,19106242.798861522,983349.7978498861,0.05426008958917291
Colombia,5581135206.890198,5777215558.933331,196080352.04313278,0.03513270056619691,16498688.41500487,17501611.117137842,1002922.702132972,0.060788026108842416
Mexico,33866887405.48629,35015485710.8549,1148598305.3686066,0.03391508323798716,59035923.01552752,65288934.28482164,6253011.26929412,0.10591875166666684
Venezuela,6554339157.407839,6725717151.439215,171377994.03137589,0.026147257551919816,6770989.061475115,7457115.021339516,686125.9598644013,0.10133319573180985
Guam,7932915.172549015,7938852.670588227,5937.498039212078,0.0007484635736126538,14432.436121458151,14778.414202373637,345.9780809154854,0.023972257906001403
Mongolia,576769063.749018,583968262.6078427,7199198.85882473,0.012481943487103313,585558.48152216,732657.95617364,147099.47465147998,0.25121226878841324
New Caledonia,141261579.28235304,141932060.85882387,670481.5764708221,0.00474638312750749,54113.847766678,59521.498284321184,5407.650517643182,0.09993099254296757
Papua New Guinea,90494210.32941173,90537422.75294116,43212.423529431224,0.0004775158915927537,68592.10292152799,72077.38659623184,3485.2836747038527,0.05081173380397962
Fiji,266085637.69803938,273109460.32549065,7023822.627451271,0.02639684985712036,189382.56401060274,203321.85840382442,13939.294393221673,0.07360389519513143
New Zealand,3452019524.8235254,3715281216.8784328,263261692.05490732,0.07626309473680216,1764367.105912914,1844027.9401735568,79660.83426064276,0.0451498069725262
Jamaica,362790194.0549019,371675550.9999999,8885356.945097983,0.02449172301430325,483086.6880738515,484829.1605668763,1742.4724930247758,0.003606956134461723
Guadeloupe,140715693.23529437,142844076.90588254,2128383.6705881655,0.015125417937779263,70621.25190662727,70885.19341504063,263.9415084133652,0.0037374232442429463
French Guiana,58488737.67843131,60080647.262745164,1591909.5843138546,0.027217369488569038,40071.82428373067,43256.06460835701,3184.240324626342,0.07946332320885019
Haiti,790886314.2862753,860888289.901959,70001975.61568367,0.08851079396772217,2831742.172489429,3372307.6444601985,540565.4719707696,0.19089501764051844
Dominican Republic,1986855571.8627427,2128452249.2117603,141596677.34901762,0.07126671880647371,5449853.989894218,6254409.0795335,804555.0896392819,0.1476287421885404
Panama,838052492.0901967,883815605.4117657,45763113.321568966,0.05460649989528775,1152284.3291961066,1270161.159849419,117876.83065331238,0.10229838909251623
Cura�ao,182607185.01960734,225772172.5568627,43164987.53725538,0.23638164912635043,103541.91486411572,112327.57029459669,8785.655430480969,0.08485119714089615
Honduras,843603200.5372554,892272407.4862756,48669206.94902015,0.05769206057779863,914324.0163909429,959546.316603497,45222.30021255417,0.04945981884087162
Paraguay,1330277329.5333333,1376037960.090192,45760630.55685878,0.03439931624852375,1924770.4874839296,2122212.2501250496,197441.76264112,0.10257937968449264
Suriname,233279380.40784326,237353306.80784294,4073926.399999678,0.017463722652543128,169241.26418785987,178828.43762168326,9587.173433823395,0.056647966320917544
Guatemala,1319954087.2352946,1369978964.4509814,50024877.2156868,0.037898952470738004,1836359.1126317522,1970358.141102731,133999.02847097884,0.07296994773475435
Nicaragua,515575233.0666659,530062059.4627451,14486826.396079183,0.028098375303854013,727066.7818937263,738819.7036237804,11752.921730054077,0.01616484485708766
Costa Rica,2482966616.3960767,2531318792.564702,48352176.168625355,0.01947355065079632,3698948.377455037,3828447.5296278726,129499.15217283554,0.035009721401393
El Salvador,1343147090.231368,1373270851.2705855,30123761.039217472,0.022427745448213278,1770589.9562167893,1744428.6398179114,-26161.316398877883,-0.014775479950635571
Puerto Rico,1277576016.2666671,1307600702.7019594,30024686.435292244,0.02350129154978221,1183763.320311401,1155787.7698884388,-27975.55042296229,-0.023632722811180732
Bahamas,122801404.38823526,125515939.67451,2714535.286274746,0.022105083405176487,128268.61217070742,137047.77482863018,8779.16265792276,0.06844357718815054
Uruguay,996009143.2901978,1011709835.0588231,15700691.76862526,0.015763602045619673,1400562.2227761769,1413895.8271709895,13333.604394812603,0.009520179952007345
Bolivia,2352973189.3607836,2436136170.168626,83162980.80784225,0.03534378597421868,2772866.924579849,2832139.208736481,59272.284156632144,0.021375812748609713
Guyana,90130053.76078415,93603865.4196077,3473811.6588235497,0.03854221221306999,124030.36396997604,127042.74056212298,3012.3765921469458,0.024287412337805847
