geography,urban_ghg_emissions_tonnesCO2e_2000,urban_population_2000,urban_ghg_percapita_tonnesCO2e_2000,urban_ghg_emissions_tonnesCO2e_2005,urban_population_2005,urban_ghg_percapita_tonnesCO2e_2005,urban_ghg_emissions_tonnesCO2e_2010,urban_population_2010,urban_ghg_percapita_tonnesCO2e_2010,urban_ghg_emissions_tonnesCO2e_2015,urban_population_2015,urban_ghg_percapita_tonnesCO2e_2015,urban_ghg_emissions_tonnesCO2e_2020,urban_population_2020,urban_ghg_percapita_tonnesCO2e_2020
global,3572421514.318291,1904135717.5253203,1.8761380722174215,5158717593.753946,2204877232.173122,2.3396847309587057,6520388064.27637,2505930353.4156284,2.6019829543103477,7372285428.326362,2755511533.1027384,2.675468906502845,7936342208.676416,2985964378.9785647,2.657882412981521
AFG,253743.5364967471,3869256.9216011725,0.06557939719126823,365580.600710087,4777468.961423881,0.07652181597871209,1330245.8117548695,5723072.191004288,0.23243561628416873,1657704.3978629871,6832927.365021722,0.2426053006722862,2025333.1343397638,8425116.408258624,0.24039230275257134
AGO,2862351.4917773544,9563508.067214934,0.29929932318349817,4329741.495847331,11039050.047755513,0.39222047885611905,6477940.04202604,14271898.553434392,0.45389476514091304,9570152.963566484,19722622.47589246,0.4852373448441941,8161752.551062782,26027327.164743315,0.31358396885711387
ALB,152403.49545982128,497038.3328163867,0.30662322279300214,226767.73185985355,622546.9673108001,0.36425802994337314,344147.21007808286,753263.7495387549,0.4568747802994822,398893.1965093105,893409.2560476807,0.44648428904123844,434078.38125593716,1035787.748932048,0.4190804358359084
ARE,15705863.624729883,2228978.412546383,7.046216121396849,20671497.32610614,2954874.9672672614,6.9957265722223205,35052970.364340976,5148886.456216905,6.807874025269497,45483148.242020614,5678233.454956538,8.010087750498936,44800734.821894884,6287206.594641633,7.125697898980604
ARG,40157849.79118707,21562746.592706162,1.86237173536932,46876822.33292992,23074562.51894975,2.0315367753747355,48802239.35566672,24541627.336388726,1.9885494424123187,57235892.76065209,25830860.08216691,2.215795083035836,48364057.07270367,26747623.199352637,1.8081627930916195
ARM,1191001.9157996117,1478921.317586455,0.8053179717114923,1192190.7077992614,1448220.1481534208,0.8232109664538128,1023471.9420379236,1410959.1323494578,0.725373200805391,1394838.8993415295,1400391.4979958492,0.9960349668915683,1551464.084727234,1312607.5140167463,1.1819710523974956
AUS,57515920.291100204,10494109.940539537,5.480781182681523,57413026.02653509,11488566.607687704,4.997405506455132,68198225.33047855,12751847.481013324,5.348105475071066,69096538.62430967,14131709.974104844,4.889467640570263,61813654.875457756,15971386.37220303,3.870274842454483
AUT,8526887.429291746,2421217.973007192,3.521734732003998,10689552.075427203,2553651.6524251904,4.18598678691175,11269719.849417634,2680022.6554282443,4.205083799046031,9791243.434812032,2844497.732660575,3.442169533970372,9546379.663789187,3078153.989116775,3.1013327135489934
AZE,3191119.9672143944,2328908.5762571,1.3702212271221894,6457478.690258407,2572861.6415503044,2.5098429647259954,6189319.329360877,2802662.091703969,2.208371586314881,13337824.37417639,2970223.5313674635,4.490511987842134,12759450.241114706,3125718.370653901,4.082085692974773
BDI,103044.59662697399,343397.30735488026,0.3000739796730079,151912.56820347434,488587.95586292783,0.31092163934981043,152639.50436214881,676332.5592775468,0.2256870562688822,153561.91944177763,886855.7096747438,0.17315321733464037,189995.49480484222,1081814.8342097146,0.17562663109869203
BEL,35123680.53318109,5431631.435078347,6.466506601745238,36164342.44127874,5795936.115989282,6.2396033561363735,38523236.565588556,6134206.152246489,6.280068783061758,36917196.30627298,6762405.426708722,5.459181160665883,34883512.532122955,7198454.966095028,4.84597218381243
BEN,326808.3033436922,1663048.9830685365,0.19651153193376747,496881.84694346867,1963434.8032990098,0.25306765781506774,681781.0655031448,2345718.726293752,0.2906491123001616,830159.0793747634,2780999.735145713,0.2985110242490787,1054163.4721282276,3313405.169237463,0.31815109178779655
BFA,381418.40114193683,1366170.9437614512,0.2791879031563833,622015.251771978,1926059.9576878618,0.322946982667495,922084.3210814892,2502458.8358445275,0.3684713242327141,1626777.9268439987,3130914.5825509126,0.5195855344985431,1988302.919075687,4010718.291360347,0.49574733866469056
BGD,4212752.685392006,23566354.4820046,0.17876132214716908,5991041.31957964,26918186.115280196,0.2225648226787022,9931516.0387611,29964828.27212811,0.33143911083244665,12567590.118706964,33222287.090533245,0.37828792715141285,15221709.043185016,35882921.99181949,0.42420483612385934
BGR,1839192.4597426779,2029121.446446186,0.9063984134433398,2126431.239539321,2065778.2430340438,1.0293608458264112,2161389.756874914,2102261.315805924,1.0281261138301079,2258541.95357091,2137087.4984185738,1.0568317653077899,2149035.3954272466,2158878.6811263775,0.9954405563475224
BHR,5567655.680717596,541426.7108154309,10.283304405747312,7222180.093428209,685521.5852869323,10.535306616793532,7205713.134139645,925659.6978796348,7.784408406939865,7572050.614945675,1036924.825425026,7.302410386251444,12207532.982198058,1404826.3304868897,8.689709693843172
BHS,620156.0658462148,186454.69773233368,3.3260415177979805,544392.6302038797,199619.85928144897,2.727146648452081,777320.6060671296,216332.22263879253,3.593179955281156,911248.5110845398,240752.0148935962,3.785008866851142,951180.2631216514,256117.98959217468,3.7138362074302074
BIH,183637.21782221575,523072.112867158,0.35107438019517045,247055.50502040016,530255.5268942881,0.46591783110193435,301025.10729347775,520082.18688129983,0.5788029563146367,291997.03572151746,498707.60380902945,0.5855074867343153,310053.8294877114,439482.91837834043,0.7054968840012877
BLR,6955065.474412244,4518885.538839704,1.5391107861957636,8080882.962649168,4636881.784143434,1.7427407768477197,11452132.837618314,4833696.313006576,2.3692288666962296,14256520.588566318,5062229.969744398,2.816253049303123,13616825.974331662,5287996.645128858,2.575044367109247
BOL,2888446.5609917534,3987591.450140643,0.7243587005107751,3701229.5920684934,4512936.620593453,0.8201377292069704,5558214.173155735,5023300.519479178,1.1064864926162168,6329358.770974091,5554503.649548023,1.1395003352800244,6082290.885334338,6263917.153302238,0.9710043630011693
BRA,112485493.27387978,74601678.7674404,1.507814504074855,63745082.74514019,39637047.50663263,1.6082197528580668,193702837.94263068,90627030.20234385,2.1373627438761753,209940872.1056844,96762178.1222292,2.169658395251177,195666312.4925847,101117542.04856302,1.9350382587287713
BWA,173774.7484549527,173777.85242148588,0.9999821383076731,212072.45954312003,221527.39398945213,0.9573193442307081,262735.45621324214,254682.60167342008,1.0316191780942627,289980.6583818744,287862.3880965815,1.0073586212471153,283974.04421185673,336698.9573033455,0.8434063665840617
CAF,78912.36930279974,781353.4579448019,0.10099445839833275,89490.25507230681,875813.2969926794,0.10217960309530998,119658.57418595438,986648.6612804887,0.12127779510759132,135124.57486243133,1070628.4650815187,0.12621051958686977,158087.77397780324,1184859.2391299605,0.13342325295440727
CAN,123762578.16813047,17940178.691203285,6.898625721538421,144257668.47229633,20474301.477854628,7.045791946959851,139706783.0161934,22289145.89827531,6.267928957609975,154507399.4334274,23586799.99465516,6.550587594266252,154046776.03388932,25052670.756552972,6.14891631837678
CHE,15429168.085409425,6684808.951893602,2.3080940975940405,18106778.313014828,7200209.445364253,2.514757167886638,18298425.61635133,8331469.513152424,2.19630229546716,16239050.840538412,8833357.187701164,1.8383781494931875,14932158.40857687,9123514.067033112,1.6366674396363023
CHL,10186415.576879647,8400498.137325864,1.212596611576929,12743594.778798038,9365797.58385111,1.360652380612097,12490827.701634433,10202773.896951558,1.2242580133395402,17461469.873851117,10764757.732787909,1.6220959456120394,18301755.77927658,11523449.469453892,1.588218512849861
CHN,524750001.81351495,343518043.7454881,1.5275762405141702,1076983245.363166,406094863.78023136,2.652048428630221,1866158429.104385,467699622.1561009,3.990078975264876,2390271783.914169,524058450.13772076,4.561078603514576,2908924001.275209,576954296.3317764,5.041862102024175
CIV,1332264.8105434743,4751405.179693791,0.28039385406178585,1591531.6410356422,5436108.464366078,0.2927703984326655,1756635.086146587,6127347.2697614115,0.2866876984132462,2521031.9640597007,6876591.973390349,0.36661066612866994,2919325.3531175377,8017119.034862714,0.3641364610432691
CMR,1289728.0533370331,5849531.807758435,0.22048397986765755,1647637.0762856167,7194975.301248263,0.22899829496284257,2142680.9104692666,8861263.313019086,0.2418030967798024,2580286.3687846987,10801108.373106405,0.23889088782863557,3207857.089832587,13003119.937080014,0.24669903110598737
COD,2582819.81829253,14917134.678768106,0.17314449952434333,3189461.064441344,17042385.008416448,0.18714875076852308,3499630.0179368653,19847279.60112377,0.1763279445984483,4670798.575094586,23728111.019793723,0.19684662513582554,4202731.859576394,29214384.374239136,0.1438583064335358
COG,1819353.5487308356,7365725.81746082,0.24700261641805446,2298189.2389371805,7796109.503627265,0.294786680185535,2289094.0034654895,8647336.59522412,0.26471665330221383,2787772.7547510583,10567967.22198098,0.2637946064927789,2589409.783071587,13625815.055878844,0.1900370563120471
COL,13815114.215650063,19254694.793378,0.7174932848274128,13445783.962384477,21531210.92122083,0.6244787630189679,15150488.549024234,23691633.50436715,0.6394868697522059,18663500.245602287,25693933.42999314,0.7263776990959251,18029828.234322883,27889401.353427425,0.646475985835642
CPV,7050.622823059545,13809.860732321897,0.5105498860359688,11862.161598748668,14684.758979447768,0.8077872858077207,14136.044587548358,15278.58852163457,0.9252192745116237,16879.704190126733,15507.474998999047,1.088488241394312,19233.781782627506,15617.266901824956,1.2315715613709555
CRI,1707842.207996841,1630518.3747089487,1.0474228530553633,2474071.5919811437,1742462.2771337344,1.4198709633191433,2997587.9063119893,1839945.0493441469,1.6291725165273208,2864462.5816714927,1954457.6275735407,1.4656048518318217,2783178.0400083098,2113997.4729564423,1.316547477285303
CUB,4778854.139196896,3657380.3808428063,1.30663306563034,2703281.5611794563,3718165.370335039,0.7270471568444162,2862302.070736066,3769242.3045281065,0.7593839396574464,3491778.9465965135,3829791.8645644234,0.9117411781315292,3284565.756244166,3912471.087670035,0.8395118283673244
CUW,871659.6811236362,80874.51963060621,10.777927153137174,1250122.647008783,107539.48952817862,11.624777581645604,878204.50607,125155.58266967288,7.016902381317445,1463022.0502804283,136856.65082182013,10.690178675972444,350107.1430004791,165008.45671074864,2.1217527269781025
CYP,524161.14834225643,410233.85433572123,1.2777130478200394,576748.1042458648,443256.70739283925,1.3011604666699783,649865.1977590496,484633.248513967,1.3409422480849882,618089.2277749773,515782.3110788496,1.1983528990789443,618828.492727859,552336.068963454,1.1203839971725702
CZE,4966432.874577697,1955993.797881607,2.5390841627189595,5043337.586084527,2021542.5798129174,2.4947966154397103,5160359.07458752,2094743.9844670761,2.463479600778215,4959090.388800825,2154196.605984663,2.302060255328492,4898702.954206806,2258795.9444960104,2.168723104954848
DEU,141512488.33322713,29012530.076291256,4.877633490119832,147363319.3970898,29582949.850804217,4.981359875884173,151053298.80795226,30570202.85675806,4.941193865010921,143629154.44101316,31480947.507331297,4.5624152325010146,122550205.98662966,33163097.894595098,3.6953787120895853
DJI,85078.18526496233,423300.870210361,0.20098750381184521,94929.59983930213,458998.58885768964,0.20681893614434316,95486.15333312296,496012.4580046288,0.1925075707115241,96253.75113769987,537554.8887754434,0.1790584610940235,95222.49484085379,657880.5923289545,0.14474130404692115
DNK,4666134.342775496,1558984.9107741765,2.993059336577119,5021703.8491355125,1643089.7021141788,3.056256662478037,4931660.930492384,1728264.8711595712,2.8535330508589865,4370233.734147817,1836256.5844988807,2.379968992917439,3708134.4256594153,1953371.2632942912,1.8983254721408045
DOM,4165095.3006015345,3994289.4462033487,1.0427625130072986,4779667.74022058,4494857.747460026,1.0633635164364201,4466838.767690209,4978489.210129236,0.8972277691396774,4783890.180713031,5373874.407437123,0.8902125018203647,6701446.620948196,6144487.0008591,1.090643795000498
DZA,4999820.843512371,8607749.09248292,0.5808511365507476,7807898.154535883,9751661.107265567,0.8006736563802996,7845000.501539437,10896956.493332902,0.7199258349190669,11230220.823385349,12198201.243773721,0.9206456426612526,12559591.1184956,13502856.830724334,0.9301432486433218
ECU,3345436.7630789313,5465706.2364262035,0.6120776745708112,4755112.406101405,6210753.198425752,0.7656257227073021,5230744.982304077,6888823.385036282,0.7593089109623802,6432895.874036299,7509234.35954918,0.8566646832450839,5325942.504274173,8275986.922759979,0.6435416771415113
EGY,22639405.33802091,26525742.367611226,0.8534880956117685,34907864.23224442,30739940.114053838,1.135586605007245,43045070.38821275,34800272.01727435,1.2369176415300949,53281362.339505434,39353900.555993326,1.3539029571845338,59123057.9757887,46254190.37683387,1.2782205783759675
ERI,33261.08368408437,574220.5204963068,0.05792388550540888,38054.39346008763,625700.0740585086,0.06081890515571395,41490.23905734728,641619.3754637691,0.06466487865544539,49364.420120863695,636661.0678140162,0.0775364202657421,54777.93643041479,493169.45853819913,0.1110732537914691
ESH,3972.51494124684,755.4732715936593,5.258313021275896,4226.155316402095,891.6117538859415,4.739905343310135,4435.499665997515,1097.1451277315923,4.04276476637886,3663.9883000459095,1304.39968925179,2.8089460080656647,3239.347237131459,1241.7896550674943,2.6086118723185794
ESP,19032554.62930599,16356796.982721645,1.1635868959803595,25882029.11332976,17624333.510741293,1.4685394541334427,26053210.825748753,19265744.013140514,1.352307536525905,23912623.81878951,20472049.414538126,1.1680620408139537,22778800.503143214,21769579.709689006,1.0463592226819627
EST,589892.9961697106,365000.18488114164,1.6161443763701187,700310.5220536463,364443.0501032834,1.9215911014222324,855103.4604785934,366526.20527973684,2.3329940619824687,1023683.148371723,394868.43741442973,2.5924663796243808,1089353.8838694706,446046.2175832824,2.4422444153246845
ETH,789999.1520375399,4856830.168143602,0.16265735565950346,1153421.319355565,5772758.45180769,0.1998041887573489,1336082.8239811256,6957821.410261008,0.19202603016092723,1922340.215990864,8308138.562996844,0.2313803749678259,2521546.574887977,10101743.7711934,0.2496149805421254
FIN,4887340.155901517,1112730.4274276006,4.392205008000026,5277677.51873808,1185902.0845631466,4.450348462522713,5992628.615069831,1284556.4015329028,4.665134678336142,5624841.069214367,1390188.6469043444,4.046099125999696,6288983.991659751,1488342.9775120723,4.225493778438405
FJI,247371.9372746728,167962.0499552395,1.4727846995234661,226838.0242167846,183041.46989168058,1.2392712118790443,148924.46287551985,205220.00018232543,0.725682013172252,213762.43918070264,212526.12734530348,1.0058172228085183,211979.6477156588,241278.61192682496,0.8785679179054131
FRA,78649744.39197534,23543089.51171607,3.340672189724114,86821592.1276346,24711273.421135567,3.5134406328641905,81077187.91705552,27047496.458158907,2.997585674610505,71487544.87295651,27967607.602239374,2.5560836625594137,61966294.18422625,28163579.12946986,2.200227957510764
GAB,418691.3785076045,533314.4911158285,0.785074070707504,1332326.1173943642,597142.9243649561,2.231167888008141,2301985.5516715576,684520.8943772621,3.362914953481109,2208918.5622807527,775712.8882471296,2.8475981200624667,2172935.8441149,973766.8502401103,2.231474447481037
GBR,110352080.56271479,30898546.846080765,3.57143269916307,111214959.02962211,32685030.470040217,3.4026267508474275,106499619.9936845,34630145.60206442,3.075344274248032,89914380.83472057,36449363.42510479,2.4668299357127133,79771565.27952605,37992186.874597915,2.099683430775668
GEO,821242.5911119343,1372212.3274917956,0.598480697672383,698603.8775476259,1362238.549406933,0.5128351989831529,785501.0842884874,1394383.9096973347,0.5633320055012601,1138641.050436955,1420530.7915257115,0.8015602739691444,1283184.8531631534,1358573.8494418326,0.9445087241229818
GHA,2314319.9685979513,6644904.005765481,0.348284936334659,2770315.7663827944,8427116.860125393,0.32873826391219324,4079593.0181395477,10344891.064861005,0.3943582385315685,5444495.039518266,12326363.079812502,0.4416951702838436,7022740.112569441,14863553.172825523,0.47248057250596404
GIN,331943.9147443755,1940298.6634577138,0.17107877307549862,406884.4404620451,2235797.131022481,0.18198629688551735,516659.38740322867,2590310.565653258,0.19945847198941213,613116.2182343204,3041928.114581458,0.20155513054215607,737448.5733039441,3391736.136607015,0.21742510136465515
GLP,73121.52679524572,70067.21573624373,1.0435911578176509,96168.751172866,68180.38986654105,1.4105045653319153,211629.831238571,116809.23645649124,1.8117559677517305,198167.7959595317,119944.8674568037,1.652157363306094,168427.60906850352,121671.57792580737,1.3842806343089176
GMB,677.9594253208426,39553.11593681122,0.01714048082593363,858.0517264502914,38103.73244287489,0.022518836645115604,786.4179049409864,35746.06786768395,0.022000123422021012,815.2241785519484,34038.14886151436,0.023950308868696774,1737.2427506195688,35730.03877742104,0.04862135083148548
GNB,38008.7656430364,268612.3697292378,0.14150042934117057,54401.533887874684,331159.0646720417,0.16427614307266633,62429.13399897048,405060.77823515126,0.1541228806970007,74964.71266337005,488170.7241319213,0.1535624914760597,81907.4362604584,564602.4484477261,0.14507099019079409
GNQ,91992.04005767795,228994.4387465887,0.4017217211090387,486887.2029975896,309896.16233285813,1.5711301467316208,1008018.7934634867,469132.0702497585,2.148688732635212,926706.2476789643,635912.5723502571,1.4572856206537457,921302.5910487322,1285991.7749947694,0.7164140618648043
GRC,9449206.74163452,4898820.32869017,1.9288739140512663,11671138.45465983,4994605.367311479,2.3367488713011637,9939104.276488962,4994260.917729111,1.9901051307123674,9018287.231944185,4954019.074558616,1.8203981648471308,7735063.563747008,4801359.930155732,1.6110151449312657
GTM,2765823.9586432185,2357817.040115405,1.1730443505946684,2971147.5861796234,2698094.9759278814,1.101202000925797,2094429.241382847,2937210.9310604753,0.7130673589814868,2213460.139031317,3074735.440522029,0.7198863713150929,2673335.0993679175,3357421.096741123,0.7962465899683502
GUF,29762.11188034798,58833.34223076803,0.505871513530695,49945.99547078631,75570.65687500194,0.6609178421381167,51109.076707736356,83069.32061706831,0.6152581522044486,40743.90614035157,90069.3420432582,0.45236153852198924,45340.48011024875,93894.37563787343,0.48288813682637793
GUM,1858.489337814939,9919.438858670683,0.18735831374074297,2234.237356193845,10098.48770329319,0.22124474692039717,3781.8948203380414,20297.144911509182,0.18632644329171522,4806.104994148863,22403.47461354621,0.21452498226515554,3101.419290008281,21694.701808972106,0.14295745188466485
GUY,214246.113917956,203489.6509638652,1.0528600000203494,234105.78330658175,204206.70444051817,1.146415755290604,274898.57024951244,219888.9845611193,1.2501698109079356,286433.12079063087,217461.6678250165,1.3171660258814586,223703.96132499064,218693.15454573111,1.022912499431763
HKG,36719126.45717728,26705012.949058373,1.374990026300362,75462579.42898582,35403383.22020475,2.1315075725847366,116567650.93962206,41317262.630387664,2.821282038512636,143610466.06765205,46898128.38164989,3.0621790468688164,168064266.28066662,50177626.43266663,3.3493865339802813
HND,470812.6737867977,1568878.1288367843,0.30009512219784273,852282.801687175,1785467.5232649504,0.477344331712441,911475.044414926,2002940.0858322864,0.45506855190637346,916814.8264909725,2219609.474957827,0.4130523125057358,1009744.9573134468,3075081.5158161563,0.32836363918159445
HRV,1126718.27684221,1081740.425165851,1.0415791539541135,1499145.966839814,1096607.170245843,1.3670765680874837,1542158.2804344231,1114084.9041809489,1.3842376596675856,1330627.1092740595,1111671.130238816,1.1969611093419383,1500353.4224447783,1101452.6514251158,1.3621588004745773
HTI,733510.9864601153,2393646.5366472374,0.3064408112183257,888418.439617869,2757628.569809414,0.3221675498086639,1130192.071053178,2630855.766080766,0.42959104243743695,1436345.3549050195,2696580.370278243,0.532654383580198,1557060.226912022,2823705.3996799495,0.5514244606000703
HUN,7370605.526351014,2899795.4778167577,2.5417673704010006,9299391.328547603,2886577.6804530695,3.2215974617693277,8932312.091296585,2935475.4759539235,3.042884249746255,8530734.984677,3060091.3274460817,2.7877386887654287,9065001.495026793,3073082.6295648166,2.949807274238669
IDN,75014462.69795023,70454543.89861701,1.0647214295488856,91441861.48072763,79881043.53467134,1.1447254246376797,120370843.04008786,89378734.43442674,1.3467503629557283,135480285.43301216,98165529.26468782,1.3801207658923837,156467131.17594042,103890588.64746319,1.5060760865152827
IND,114487345.80577672,240557410.50878176,0.47592525029112437,154924453.27117032,272432492.52914983,0.5686709827925304,238809814.39214632,300816907.5839184,0.7938709838825331,270083113.4907431,325753197.18864006,0.8291034925264017,303382420.61864537,343745025.62799907,0.8825798135242425
IRL,6248518.846518043,1044883.9965942918,5.980107712324569,7185555.586395727,1133317.9597385349,6.340282111168069,6995489.470621296,1256707.0633139012,5.566523555755617,5359563.636458149,1304678.477138421,4.10795742427927,6008059.265863761,1378434.7671145138,4.3586097864032185
IRN,54514444.67753836,25472785.728583585,2.1401053366678493,81347696.22444002,28614559.6777639,2.8428777916039203,97720781.39127786,31278252.234587938,3.1242404677335784,105189485.86709373,34058087.043118045,3.088531828987408,118150909.75819764,36676972.238700256,3.2213921309875446
IRQ,11091853.307115754,10519356.241429184,1.054423203525693,12459234.67515077,12672863.970902981,0.9831427768622226,16268338.676059235,14283503.667939778,1.1389599536824109,19339436.77083431,17693848.66778527,1.0930034010093646,26041622.803868446,20153511.16709339,1.2921630671676285
ISL,212236.90172652426,133665.57558982144,1.5878202056886663,257698.0214155278,144867.515813136,1.7788530435486405,233777.13461326127,172297.56620304988,1.3568220362309629,258818.00093837487,177607.31921163714,1.4572485080413098,156397.2073113919,198165.73570142413,0.7892242660307088
ISR,6181636.8896569,3374836.8078627796,1.8316846833170621,7696459.700862009,4015759.775211063,1.916563771660742,7099716.712460696,4357714.443686577,1.6292294514035244,8763956.046164257,4838333.661689647,1.8113583433813247,8279821.510200176,5342833.075977987,1.5497061937845746
ITA,43043652.28571347,20061994.832113024,2.145532019418824,48741010.56541126,20886373.923078272,2.333627212886157,45557536.613227166,21863805.212177735,2.0836966013515554,38572443.32898523,22584216.011178195,1.707938115270132,37348494.34450877,23294737.195205126,1.603301811543785
JAM,578566.2389954415,858053.5028754144,0.6742775794943019,653221.4292018873,886532.2461966834,0.7368276021591724,501404.9160322092,897894.6228722034,0.5584228964734248,618136.4507287582,904544.3165744565,0.6833677901704853,572774.1125851356,915454.1926890713,0.6256720621953337
JOR,3070468.8574973764,2801189.650652262,1.0961303019174058,4349961.618134057,3254088.6935898,1.3367679948930118,4456185.223931373,4057571.291180668,1.0982395389126278,5148641.947486993,5423524.869113006,0.949316555513284,5304589.134846369,6910260.297319548,0.7676395543166427
JPN,376365405.6184567,88541282.66842932,4.250733604434842,393559977.5122378,91171753.03247248,4.316687618938996,429401029.16541046,93242859.48087934,4.6051894113507394,441449180.26683867,95633165.298492,4.616067855633339,371921895.4247662,95461212.72781935,3.896052488723313
KAZ,24064547.236654114,8651126.271305557,2.7816663960243515,33130732.529188205,9572124.396981416,3.4611681958120006,50487500.612312004,10617754.347856693,4.755007411007154,41603472.4970411,13004371.540644193,3.199191315552047,48982421.1258067,14463867.182027921,3.3865369827697123
KEN,2690396.688998397,4133767.7646442545,0.6508340192715031,3090653.17065595,5148795.099608651,0.6002672685286823,3968094.147988776,6423779.699988284,0.6177195254681622,4153009.8094780073,7774898.514822911,0.5341561438467985,5162119.6395223895,9454161.004690768,0.5460156260255307
KGZ,999057.0023218929,1379337.1502402942,0.7243022506483258,1330131.8097933298,1486460.2348180288,0.8948317476896134,1349914.4503032442,1593719.5594382952,0.8470213233619471,1982375.9450451839,1785960.2146513162,1.1099776628743183,2222260.1010268573,1955846.1813220142,1.1362141472315406
